시설아이디,supplyEC,supplyPH,innerCO2,innerHum,innerTemp,innerSolar,생육주차,CO2
B농가,0.4,6.0,511.6,92.2,18.0,144.6,1,0.37861482381530986
B농가,1.0,6.0,517.83,94.67,17.67,0.0,1,0.38618469015795875
B농가,1.0,6.0,526.83,97.67,16.67,0.0,1,0.39712029161603896
B농가,1.0,6.0,532.67,98.17,16.0,0.0,1,0.4042162818955042
B농가,1.0,6.0,540.17,97.5,15.33,0.0,1,0.41332928311057104
B농가,1.0,6.0,548.33,97.33,14.67,0.0,1,0.4232442284325638
B농가,1.0,6.0,543.17,97.0,15.0,0.0,2,0.4169744835965978
B농가,1.0,6.0,543.33,97.5,15.0,0.0,2,0.41716889428918597
B농가,1.0,6.0,544.0,96.83,15.0,0.0,2,0.41798298906439857
B농가,1.0,6.0,546.5,97.33,14.67,0.0,2,0.42102065613608747
B농가,1.0,6.0,551.5,97.0,14.0,0.0,2,0.4270959902794654
B농가,1.0,6.0,552.67,96.67,14.0,0.0,2,0.42851761846901576
B농가,1.0,6.0,551.0,96.83,14.33,3.33,2,0.4264884568651276
B농가,1.0,6.0,541.83,97.17,14.83,30.33,2,0.41534629404617257
B농가,1.0,6.0,528.33,91.5,16.33,104.33,2,0.3989428918590523
B농가,1.0,6.0,517.75,89.5,17.5,140.75,2,0.38608748481166466
B농가,1.0,6.0,458.33,60.33,23.33,404.83,2,0.31388821385176185
B농가,1.0,6.0,441.17,52.83,25.17,537.33,2,0.293037667071689
B농가,1.0,6.0,432.67,48.5,26.0,542.67,2,0.28270959902794657
B농가,1.0,6.0,420.25,45.5,27.0,539.25,2,0.2676184690157959
B농가,1.0,5.5,313.67,71.5,28.5,451.67,2,0.13811664641555288
B농가,1.0,6.0,447.67,49.0,24.33,262.17,2,0.30093560145808024
B농가,1.0,6.0,477.67,57.33,21.67,103.5,2,0.3373876063183475
B농가,1.0,6.0,533.83,88.17,15.83,5.0,2,0.405625759416768
B농가,1.0,6.0,552.0,94.83,14.0,0.0,2,0.42770352369380316
B농가,1.0,6.0,559.33,95.5,13.33,0.0,2,0.4366099635479952
B농가,1.0,6.0,565.83,96.5,13.0,0.0,2,0.44450789793438644
B농가,1.0,6.0,570.0,96.5,12.17,0.0,2,0.44957472660996356
B농가,1.0,6.0,569.0,97.0,12.0,0.0,2,0.44835965978128794
B농가,1.0,6.0,574.0,97.0,12.0,0.0,2,0.45443499392466585
B농가,1.0,6.0,575.83,98.0,12.0,0.0,2,0.4566585662211422
B농가,1.0,6.0,579.0,97.5,11.5,0.0,2,0.46051032806804376
B농가,1.0,6.0,581.5,97.17,11.0,0.0,2,0.46354799513973266
B농가,1.0,6.0,581.67,97.33,11.0,0.0,2,0.4637545565006075
B농가,1.0,6.0,580.0,97.0,11.33,0.0,2,0.4617253948967193
B농가,1.0,6.0,579.0,97.83,11.17,8.0,2,0.46051032806804376
B농가,1.0,6.0,561.33,95.5,13.0,94.67,2,0.43904009720534637
B농가,1.0,6.0,524.83,86.33,16.5,217.67,2,0.3946901579586878
B농가,1.0,6.0,485.33,73.67,20.5,377.67,2,0.3466950182260024
B농가,1.0,6.0,462.33,65.17,22.67,347.17,2,0.31874848116646415
B농가,1.0,6.0,454.83,53.83,23.67,397.33,2,0.3096354799513973
B농가,1.0,6.0,449.5,48.33,23.67,391.5,2,0.3031591737545565
B농가,1.0,6.0,439.0,47.5,24.83,391.0,2,0.29040097205346294
B농가,1.0,6.0,456.5,53.0,23.33,250.83,2,0.31166464155528556
B농가,1.0,6.0,453.33,54.17,23.5,302.33,2,0.30781287970838395
B농가,1.0,6.0,460.33,56.0,23.0,204.17,2,0.316318347509113
B농가,1.0,6.0,477.0,65.0,21.5,92.33,2,0.33657351154313486
B농가,1.0,6.0,513.5,86.67,18.0,12.83,2,0.38092345078979345
B농가,1.0,6.0,537.67,94.67,15.5,0.0,2,0.4102916160388821
B농가,1.0,6.0,546.17,96.67,14.67,0.0,2,0.4206196840826245
B농가,1.0,6.0,555.17,97.0,14.0,0.0,2,0.4315552855407047
B농가,1.0,6.0,562.5,97.17,13.0,0.0,2,0.4404617253948967
B농가,1.0,6.0,563.17,96.17,13.0,0.0,2,0.4412758201701093
B농가,1.0,6.0,565.17,96.67,13.0,0.0,2,0.4437059538274605
B농가,1.0,6.0,565.83,97.0,13.0,0.0,2,0.44450789793438644
B농가,1.0,6.0,569.33,97.33,12.17,0.0,2,0.44876063183475096
B농가,1.0,6.0,546.0,85.17,14.83,0.0,2,0.4204131227217497
B농가,1.0,6.0,532.0,74.0,16.33,0.0,2,0.40340218712029163
B농가,1.0,6.0,526.83,70.0,17.0,0.0,2,0.39712029161603896
B농가,1.0,6.0,532.83,74.0,16.0,6.83,2,0.40441069258809237
B농가,1.0,6.0,533.5,79.5,16.0,87.33,2,0.405224787363305
B농가,1.0,6.0,495.5,63.83,19.5,266.0,2,0.35905224787363305
B농가,1.0,6.0,475.67,56.0,22.5,404.0,2,0.33495747266099635
B농가,1.0,6.0,466.67,52.0,22.0,478.0,2,0.3240218712029162
B농가,1.0,6.0,447.67,49.75,24.0,540.0,2,0.30093560145808024
B농가,1.0,6.0,421.0,45.0,25.2,567.2,2,0.26852976913730253
B농가,1.0,6.0,429.0,45.0,25.6,556.0,2,0.2782503037667072
B농가,1.0,6.0,428.0,45.5,25.2,437.0,2,0.2770352369380316
B농가,1.0,6.0,460.0,53.0,23.8,252.75,2,0.3159173754556501
B농가,1.0,6.0,452.67,49.67,23.33,180.0,2,0.3070109356014581
B농가,1.0,6.0,481.0,55.5,21.33,78.0,2,0.34143377885783716
B농가,1.0,6.0,503.5,62.75,19.0,13.0,2,0.3687727825030377
B농가,1.0,6.0,515.33,71.0,17.67,0.0,2,0.3831470230862698
B농가,1.0,6.0,511.0,71.0,18.5,0.0,2,0.3778857837181045
B농가,1.0,6.0,518.0,68.5,17.75,0.0,2,0.3863912515188335
B농가,1.0,6.0,514.0,69.0,18.25,0.0,2,0.38153098420413123
B농가,1.0,6.0,512.25,65.5,18.0,0.0,2,0.379404617253949
B농가,1.0,6.0,512.17,68.0,18.0,0.0,2,0.3793074119076549
B농가,1.0,6.0,526.17,80.33,16.67,0.0,2,0.39631834750911293
B농가,1.0,6.0,530.17,85.33,16.0,0.0,2,0.4011786148238153
B농가,1.0,6.0,531.0,87.67,16.0,0.0,2,0.402187120291616
B농가,1.0,6.0,532.83,88.83,16.0,0.0,2,0.40441069258809237
B농가,1.0,6.0,530.0,89.17,16.0,0.0,2,0.40097205346294046
B농가,1.0,6.0,533.5,92.33,16.0,0.33,2,0.405224787363305
B농가,1.0,6.0,523.17,83.83,17.0,28.0,2,0.3926731470230862
B농가,1.0,6.0,513.83,85.17,17.67,74.67,2,0.3813244228432564
B농가,1.0,6.0,491.0,76.83,20.0,202.0,2,0.353584447144593
B농가,1.0,6.0,460.17,61.67,23.5,309.17,2,0.31612393681652495
B농가,1.0,6.0,446.5,58.67,24.67,369.0,2,0.29951397326852974
B농가,1.0,6.0,420.33,52.17,27.5,473.0,2,0.2677156743620899
B농가,1.0,6.0,415.67,52.5,27.5,442.83,2,0.2620534629404617
B농가,1.0,6.0,414.83,51.83,28.0,363.5,2,0.26103280680437424
B농가,1.0,6.0,437.5,60.33,25.67,157.67,2,0.2885783718104496
B농가,1.0,6.0,459.17,71.17,23.33,75.17,2,0.31490886998784934
B농가,1.0,6.0,475.33,82.0,21.83,27.33,2,0.33454434993924664
B농가,1.0,6.0,492.33,90.5,20.0,0.33,2,0.35520048602673143
B농가,1.0,6.0,500.67,95.17,19.0,0.0,2,0.3653341433778858
B농가,1.0,6.0,501.33,96.5,19.0,0.0,2,0.36613608748481163
B농가,1.0,6.0,505.67,96.83,19.0,0.0,2,0.3714094775212637
B농가,1.0,6.0,507.33,97.67,18.83,0.0,2,0.3734264884568651
B농가,1.0,6.0,507.67,97.5,19.0,0.0,2,0.37383961117861486
B농가,1.0,6.0,507.33,98.83,18.17,0.0,2,0.3734264884568651
B농가,1.0,6.0,508.83,97.83,18.17,0.0,2,0.3752490886998785
B농가,1.0,6.0,510.33,98.33,18.0,0.0,2,0.37707168894289184
B농가,1.0,6.0,510.67,98.5,18.0,0.0,2,0.3774848116646416
B농가,1.0,6.0,510.83,97.83,18.0,0.0,2,0.3776792223572296
B농가,1.0,6.0,511.17,97.17,18.0,0.0,2,0.3780923450789794
B농가,1.0,6.0,513.0,97.17,18.0,0.0,2,0.38031591737545567
B농가,1.0,6.0,511.33,97.17,18.0,3.17,2,0.3782867557715674
B농가,1.0,6.0,508.67,96.33,18.5,16.0,2,0.3750546780072904
B농가,1.0,6.0,505.67,97.33,19.0,17.5,2,0.3714094775212637
B농가,1.0,6.0,500.5,95.5,19.17,31.0,2,0.36512758201701095
B농가,1.0,6.0,496.5,95.33,19.67,50.5,2,0.3602673147023086
B농가,1.0,6.0,486.5,91.5,21.0,81.5,2,0.34811664641555284
B농가,1.0,6.0,477.67,90.17,21.67,106.5,2,0.3373876063183475
B농가,1.0,6.0,484.33,91.0,21.17,52.83,2,0.34547995139732685
B농가,1.0,6.0,478.83,87.83,21.5,99.83,2,0.33879708383961116
B농가,1.0,6.0,486.67,90.67,20.83,23.83,2,0.3483232077764277
B농가,1.0,6.0,495.33,96.33,20.0,3.5,2,0.35884568651275817
B농가,1.0,6.0,498.83,98.17,19.17,0.33,2,0.3630984204131227
B농가,1.0,6.0,500.33,98.33,19.0,0.0,2,0.3649210206561361
B농가,1.0,6.0,501.0,98.67,19.0,0.0,2,0.36573511543134873
B농가,1.0,6.0,499.83,96.33,19.17,0.0,2,0.3643134872417983
B농가,1.0,6.0,501.0,96.17,19.0,0.0,2,0.36573511543134873
B농가,1.0,6.0,501.83,97.0,19.0,0.0,2,0.3667436208991494
B농가,1.0,6.0,504.67,96.5,19.0,0.0,2,0.3701944106925881
B농가,1.0,6.0,504.67,97.0,19.0,0.0,2,0.3701944106925881
B농가,1.0,6.0,504.33,96.83,19.0,0.0,2,0.36978128797083837
B농가,1.0,6.0,503.0,97.67,19.0,0.0,2,0.36816524908869985
B농가,1.0,6.0,502.83,98.33,19.0,0.0,2,0.36795868772782503
B농가,1.0,6.0,502.33,97.0,19.0,0.0,2,0.36735115431348725
B농가,1.0,6.0,502.5,98.5,19.0,1.17,2,0.3675577156743621
B농가,1.0,6.0,500.0,96.33,19.17,16.5,2,0.3645200486026732
B농가,1.0,6.0,492.0,92.0,20.33,75.33,2,0.35479951397326853
B농가,1.0,6.0,476.17,85.5,21.83,146.33,2,0.3355650060753342
B농가,1.0,6.0,466.17,78.67,22.67,183.67,2,0.32341433778857837
B농가,1.0,6.0,479.5,83.17,21.17,83.0,2,0.3396111786148238
B농가,1.0,6.0,466.83,78.83,22.5,154.67,2,0.3242162818955042
B농가,1.0,6.0,456.5,74.67,23.5,201.0,2,0.31166464155528556
B농가,1.0,6.0,468.17,78.67,22.33,127.33,2,0.32584447144592954
B농가,1.0,6.0,485.83,87.67,20.67,77.83,2,0.3473025516403402
B농가,1.0,6.0,480.83,82.83,21.0,52.83,2,0.34122721749696233
B농가,1.0,6.0,483.17,82.5,21.0,35.17,2,0.3440704738760632
B농가,1.0,6.0,494.67,89.67,20.0,1.67,2,0.35804374240583237
B농가,1.0,6.0,501.0,90.33,19.33,0.0,2,0.36573511543134873
B농가,1.0,6.0,507.67,95.83,18.5,0.0,2,0.37383961117861486
B농가,1.0,6.0,513.83,97.5,17.83,0.0,2,0.3813244228432564
B농가,1.0,6.0,520.33,97.67,17.0,0.0,2,0.38922235722964765
B농가,1.0,6.0,520.33,98.0,17.17,0.0,2,0.38922235722964765
B농가,1.0,6.0,519.5,98.67,17.0,0.0,2,0.3882138517618469
B농가,1.0,6.0,520.33,98.0,17.0,0.0,2,0.38922235722964765
B농가,1.0,6.0,519.67,98.33,17.0,0.0,2,0.3884204131227217
B농가,1.0,6.0,518.33,98.17,17.67,0.0,2,0.38679222357229653
B농가,1.0,6.0,519.0,98.17,17.33,0.0,2,0.38760631834750914
B농가,1.0,6.0,519.33,98.33,17.5,0.0,2,0.3880072904009721
B농가,1.0,6.0,517.17,98.67,18.0,1.17,2,0.38538274605103273
B농가,1.0,6.0,508.0,98.17,18.17,56.5,2,0.37424058323207776
B농가,1.0,6.0,485.5,87.83,20.5,136.0,2,0.3469015795868773
B농가,1.0,6.0,470.67,79.33,21.67,228.0,2,0.3288821385176185
B농가,1.0,6.0,439.17,62.33,25.17,469.17,2,0.2906075334143378
B농가,1.0,6.0,432.83,59.33,25.67,493.17,2,0.2829040097205346
B농가,1.0,6.0,420.17,56.5,27.0,505.67,2,0.26752126366950185
B농가,1.0,6.0,413.83,53.17,27.33,566.83,2,0.2598177399756986
B농가,1.0,5.83,387.83,61.83,27.67,451.0,2,0.22822600243013363
B농가,1.0,6.0,426.0,56.17,26.5,305.17,2,0.27460510328068044
B농가,1.0,6.0,437.33,61.33,25.17,208.83,2,0.2883718104495747
B농가,1.0,6.0,465.5,74.83,22.83,73.83,2,0.32260024301336576
B농가,1.0,6.0,495.83,87.33,19.83,3.5,2,0.35945321992709595
B농가,1.0,6.0,513.5,95.33,18.17,0.0,2,0.38092345078979345
B농가,1.0,6.0,520.5,97.67,17.17,0.0,2,0.3894289185905225
B농가,1.0,6.0,528.67,98.17,16.33,0.0,2,0.3993560145808019
B농가,1.0,6.0,537.83,97.67,15.5,0.0,2,0.4104860267314703
B농가,1.0,6.0,541.33,98.33,15.0,0.0,2,0.4147387606318348
B농가,1.0,6.0,537.5,98.67,15.5,0.0,3,0.41008505467800727
B농가,1.0,6.0,538.67,99.67,15.0,0.0,3,0.41150668286755765
B농가,1.0,6.0,540.33,98.83,15.0,0.0,3,0.41352369380315923
B농가,1.0,6.0,541.83,98.67,15.0,0.0,3,0.41534629404617257
B농가,1.0,6.0,546.17,98.0,14.5,0.0,3,0.4206196840826245
B농가,1.0,6.0,549.0,98.67,14.33,0.0,3,0.4240583232077764
B농가,1.0,6.0,545.83,98.67,14.83,5.83,3,0.4202065613608749
B농가,1.0,6.0,529.0,96.5,16.17,68.33,3,0.3997569866342649
B농가,1.0,6.0,505.83,89.33,18.17,119.67,3,0.37160388821385176
B농가,1.0,6.0,473.0,78.0,21.17,238.0,3,0.33171324422843257
B농가,1.0,6.0,460.33,71.33,22.83,300.83,3,0.316318347509113
B농가,1.0,6.0,456.17,69.83,23.17,279.17,3,0.3112636695018226
B농가,1.0,6.0,450.33,67.83,24.0,271.83,3,0.3041676792223572
B농가,1.0,6.0,420.83,60.0,26.33,379.83,3,0.2683232077764277
B농가,1.0,6.0,421.67,55.17,26.33,346.17,3,0.2693438639125152
B농가,1.0,6.0,443.0,56.67,24.33,196.67,3,0.29526123936816523
B농가,1.0,6.0,464.0,61.5,22.33,113.83,3,0.32077764277035237
B농가,1.0,6.0,490.67,74.83,20.17,43.83,3,0.35318347509113
B농가,1.0,6.0,517.33,88.5,17.33,2.17,3,0.385577156743621
B농가,1.0,6.0,534.33,94.0,15.67,0.0,3,0.40623329283110576
B농가,1.0,6.0,537.0,95.5,15.5,0.0,3,0.4094775212636695
B농가,1.0,6.0,536.17,95.5,16.0,0.0,3,0.40846901579586875
B농가,1.0,6.0,536.67,96.17,15.5,0.0,3,0.40907654921020653
B농가,1.0,6.0,538.5,95.83,15.0,0.0,3,0.4113001215066829
