,시설아이디,weeks,조사일자,표본번호,관부직경,엽병장,엽수,엽장,엽폭,개화수,초장,최종화방차수,화방 꽃수(소화수),supplyEC,supplyPH,innerCO2,innerHum,innerTemp,innerSolar,CO2
0,B농가,4,20231006,1,12.39,139.0,5.0,79.0,70.0,0.0,255.0,0.0,0.0,0.934939024390244,5.998963414634146,928.3727439024391,79.07195121951219,15.957256097560974,120.36512195121952,0.885021560027265
1,B농가,4,20231006,2,12.59,146.0,5.0,78.0,77.0,0.0,251.0,0.0,0.0,0.934939024390244,5.998963414634146,928.3727439024391,79.07195121951219,15.957256097560974,120.36512195121952,0.885021560027265
2,B농가,4,20231006,3,13.91,100.0,6.0,73.0,68.0,0.0,209.0,0.0,0.0,0.934939024390244,5.998963414634146,928.3727439024391,79.07195121951219,15.957256097560974,120.36512195121952,0.885021560027265
3,B농가,4,20231006,4,10.36,111.0,4.0,83.0,80.0,0.0,264.0,0.0,0.0,0.934939024390244,5.998963414634146,928.3727439024391,79.07195121951219,15.957256097560974,120.36512195121952,0.885021560027265
4,B농가,4,20231006,5,9.48,203.0,3.0,94.0,94.0,0.0,307.0,0.0,0.0,0.934939024390244,5.998963414634146,928.3727439024391,79.07195121951219,15.957256097560974,120.36512195121952,0.885021560027265
5,B농가,4,20231006,6,15.66,121.0,5.0,96.0,58.0,0.0,291.0,0.0,0.0,0.934939024390244,5.998963414634146,928.3727439024391,79.07195121951219,15.957256097560974,120.36512195121952,0.885021560027265
6,B농가,4,20231006,7,13.91,159.0,5.0,74.0,72.0,0.0,268.0,0.0,0.0,0.934939024390244,5.998963414634146,928.3727439024391,79.07195121951219,15.957256097560974,120.36512195121952,0.885021560027265
7,B농가,4,20231006,8,10.39,240.0,4.0,79.0,64.0,0.0,293.0,0.0,0.0,0.934939024390244,5.998963414634146,928.3727439024391,79.07195121951219,15.957256097560974,120.36512195121952,0.885021560027265
8,B농가,4,20231006,9,11.61,122.0,4.0,68.0,58.0,0.0,237.0,0.0,0.0,0.934939024390244,5.998963414634146,928.3727439024391,79.07195121951219,15.957256097560974,120.36512195121952,0.885021560027265
9,B농가,5,20231013,1,13.09,142.0,6.0,84.0,74.0,0.0,269.0,0.0,0.0,1.0,6.0,1022.6419642857143,83.50160714285714,14.59827380952381,107.42982142857143,0.9995649626800903
10,B농가,5,20231013,2,17.78,149.0,6.0,79.0,80.0,0.0,276.0,0.0,0.0,1.0,6.0,1022.6419642857143,83.50160714285714,14.59827380952381,107.42982142857143,0.9995649626800903
11,B농가,5,20231013,3,20.77,125.0,6.0,84.0,76.0,0.0,222.0,0.0,0.0,1.0,6.0,1022.6419642857143,83.50160714285714,14.59827380952381,107.42982142857143,0.9995649626800903
12,B농가,5,20231013,4,14.95,122.0,4.0,99.0,92.0,0.0,283.0,0.0,0.0,1.0,6.0,1022.6419642857143,83.50160714285714,14.59827380952381,107.42982142857143,0.9995649626800903
13,B농가,5,20231013,5,11.98,162.0,4.0,83.0,74.0,0.0,329.0,0.0,0.0,1.0,6.0,1022.6419642857143,83.50160714285714,14.59827380952381,107.42982142857143,0.9995649626800903
14,B농가,5,20231013,6,21.82,146.0,6.0,103.0,96.0,0.0,297.0,0.0,0.0,1.0,6.0,1022.6419642857143,83.50160714285714,14.59827380952381,107.42982142857143,0.9995649626800903
15,B농가,5,20231013,7,14.99,146.0,6.0,98.0,81.0,0.0,298.0,0.0,0.0,1.0,6.0,1022.6419642857143,83.50160714285714,14.59827380952381,107.42982142857143,0.9995649626800903
16,B농가,5,20231013,8,16.38,151.0,5.0,103.0,92.0,0.0,314.0,0.0,0.0,1.0,6.0,1022.6419642857143,83.50160714285714,14.59827380952381,107.42982142857143,0.9995649626800903
17,B농가,5,20231013,9,13.88,158.0,4.0,89.0,74.0,0.0,261.0,0.0,0.0,1.0,6.0,1022.6419642857143,83.50160714285714,14.59827380952381,107.42982142857143,0.9995649626800903
18,B농가,6,20231020,1,17.74,121.0,6.0,96.0,94.0,0.0,273.0,0.0,0.0,1.0,6.0,1022.6488690476191,88.14583333333333,13.60904761904762,110.37208333333332,0.9995733524272407
19,B농가,6,20231020,2,18.45,92.0,7.0,82.0,74.0,0.0,273.0,0.0,0.0,1.0,6.0,1022.6488690476191,88.14583333333333,13.60904761904762,110.37208333333332,0.9995733524272407
20,B농가,6,20231020,3,21.01,115.0,7.0,82.0,77.0,0.0,227.0,0.0,0.0,1.0,6.0,1022.6488690476191,88.14583333333333,13.60904761904762,110.37208333333332,0.9995733524272407
21,B농가,6,20231020,4,17.92,132.0,5.0,105.0,96.0,0.0,291.0,0.0,0.0,1.0,6.0,1022.6488690476191,88.14583333333333,13.60904761904762,110.37208333333332,0.9995733524272407
22,B농가,6,20231020,5,16.16,158.0,4.0,103.0,98.0,0.0,338.0,0.0,0.0,1.0,6.0,1022.6488690476191,88.14583333333333,13.60904761904762,110.37208333333332,0.9995733524272407
23,B농가,6,20231020,6,22.57,142.0,6.0,105.0,99.0,0.0,300.0,0.0,0.0,1.0,6.0,1022.6488690476191,88.14583333333333,13.60904761904762,110.37208333333332,0.9995733524272407
24,B농가,6,20231020,7,18.41,105.0,6.0,98.0,83.0,0.0,301.0,0.0,0.0,1.0,6.0,1022.6488690476191,88.14583333333333,13.60904761904762,110.37208333333332,0.9995733524272407
25,B농가,6,20231020,8,20.87,152.0,5.0,98.0,86.0,0.0,321.0,0.0,0.0,1.0,6.0,1022.6488690476191,88.14583333333333,13.60904761904762,110.37208333333332,0.9995733524272407
26,B농가,6,20231020,9,18.18,122.0,4.0,105.0,98.0,0.0,263.0,0.0,0.0,1.0,6.0,1022.6488690476191,88.14583333333333,13.60904761904762,110.37208333333332,0.9995733524272407
27,B농가,7,20231027,1,19.81,123.0,7.0,99.0,95.0,0.0,276.0,1.0,0.0,0.8692814371257485,6.038023952095808,1022.6029940119761,93.39167664670659,14.173592814371256,102.36820359281438,0.9995176111931664
28,B농가,7,20231027,2,21.04,101.0,7.0,82.0,83.0,0.0,276.0,0.0,0.0,0.8692814371257485,6.038023952095808,1022.6029940119761,93.39167664670659,14.173592814371256,102.36820359281438,0.9995176111931664
29,B농가,7,20231027,3,22.29,113.0,7.0,92.0,87.0,0.0,230.0,1.0,0.0,0.8692814371257485,6.038023952095808,1022.6029940119761,93.39167664670659,14.173592814371256,102.36820359281438,0.9995176111931664
30,B농가,7,20231027,4,21.61,103.0,5.0,96.0,85.0,0.0,295.0,0.0,0.0,0.8692814371257485,6.038023952095808,1022.6029940119761,93.39167664670659,14.173592814371256,102.36820359281438,0.9995176111931664
31,B농가,7,20231027,5,18.44,162.0,5.0,104.0,99.0,0.0,344.0,1.0,0.0,0.8692814371257485,6.038023952095808,1022.6029940119761,93.39167664670659,14.173592814371256,102.36820359281438,0.9995176111931664
32,B농가,7,20231027,6,22.77,143.0,7.0,104.0,99.0,0.0,307.0,1.0,0.0,0.8692814371257485,6.038023952095808,1022.6029940119761,93.39167664670659,14.173592814371256,102.36820359281438,0.9995176111931664
33,B농가,7,20231027,7,19.59,143.0,7.0,98.0,84.0,0.0,305.0,0.0,0.0,0.8692814371257485,6.038023952095808,1022.6029940119761,93.39167664670659,14.173592814371256,102.36820359281438,0.9995176111931664
34,B농가,7,20231027,8,20.97,92.0,6.0,104.0,88.0,0.0,324.0,0.0,0.0,0.8692814371257485,6.038023952095808,1022.6029940119761,93.39167664670659,14.173592814371256,102.36820359281438,0.9995176111931664
35,B농가,7,20231027,9,21.06,98.0,6.0,90.0,85.0,0.0,266.0,0.0,0.0,0.8692814371257485,6.038023952095808,1022.6029940119761,93.39167664670659,14.173592814371256,102.36820359281438,0.9995176111931664
36,B농가,8,20231103,1,20.03,126.0,5.0,99.0,96.0,1.0,236.0,1.0,2.0,0.921607142857143,6.066428571428571,968.167619047619,86.75089285714286,16.405119047619046,73.22119047619047,0.9333749927674594
37,B농가,8,20231103,2,23.45,104.0,8.0,86.0,85.0,1.0,285.0,1.0,0.0,0.921607142857143,6.066428571428571,968.167619047619,86.75089285714286,16.405119047619046,73.22119047619047,0.9333749927674594
38,B농가,8,20231103,3,23.94,109.0,7.0,89.0,85.0,1.0,231.0,1.0,1.0,0.921607142857143,6.066428571428571,968.167619047619,86.75089285714286,16.405119047619046,73.22119047619047,0.9333749927674594
39,B농가,8,20231103,4,22.28,105.0,6.0,96.0,86.0,0.0,298.0,1.0,1.0,0.921607142857143,6.066428571428571,968.167619047619,86.75089285714286,16.405119047619046,73.22119047619047,0.9333749927674594
40,B농가,8,20231103,5,20.02,177.0,6.0,106.0,100.0,2.0,346.0,1.0,1.0,0.921607142857143,6.066428571428571,968.167619047619,86.75089285714286,16.405119047619046,73.22119047619047,0.9333749927674594
41,B농가,8,20231103,6,23.82,148.0,8.0,107.0,100.0,2.0,307.0,1.0,0.0,0.921607142857143,6.066428571428571,968.167619047619,86.75089285714286,16.405119047619046,73.22119047619047,0.9333749927674594
42,B농가,8,20231103,7,21.95,64.0,8.0,95.0,92.0,2.0,305.0,1.0,1.0,0.921607142857143,6.066428571428571,968.167619047619,86.75089285714286,16.405119047619046,73.22119047619047,0.9333749927674594
43,B농가,8,20231103,8,21.41,104.0,7.0,104.0,83.0,1.0,325.0,1.0,0.0,0.921607142857143,6.066428571428571,968.167619047619,86.75089285714286,16.405119047619046,73.22119047619047,0.9333749927674594
44,B농가,8,20231103,9,22.88,94.0,8.0,90.0,89.0,1.0,270.0,1.0,0.0,0.921607142857143,6.066428571428571,968.167619047619,86.75089285714286,16.405119047619046,73.22119047619047,0.9333749927674594
45,B농가,9,20231110,1,23.01,112.0,5.0,80.0,80.0,6.0,220.0,1.0,1.0,1.0,6.0,1022.4592261904761,87.19624999999999,12.573154761904762,74.41654761904762,0.999342923682231
46,B농가,9,20231110,2,23.8,140.0,6.0,80.0,78.0,3.0,255.0,1.0,2.0,1.0,6.0,1022.4592261904761,87.19624999999999,12.573154761904762,74.41654761904762,0.999342923682231
47,B농가,9,20231110,3,22.79,88.0,5.0,90.0,84.0,5.0,200.0,1.0,1.0,1.0,6.0,1022.4592261904761,87.19624999999999,12.573154761904762,74.41654761904762,0.999342923682231
48,B농가,9,20231110,4,26.21,105.0,6.0,97.0,89.0,3.0,278.0,1.0,1.0,1.0,6.0,1022.4592261904761,87.19624999999999,12.573154761904762,74.41654761904762,0.999342923682231
49,B농가,9,20231110,5,26.58,161.0,6.0,108.0,101.0,5.0,290.0,1.0,2.0,1.0,6.0,1022.4592261904761,87.19624999999999,12.573154761904762,74.41654761904762,0.999342923682231
50,B농가,9,20231110,6,23.02,117.0,7.0,78.0,69.0,6.0,251.0,1.0,0.0,1.0,6.0,1022.4592261904761,87.19624999999999,12.573154761904762,74.41654761904762,0.999342923682231
51,B농가,9,20231110,7,22.63,70.0,5.0,95.0,89.0,6.0,255.0,1.0,1.0,1.0,6.0,1022.4592261904761,87.19624999999999,12.573154761904762,74.41654761904762,0.999342923682231
52,B농가,9,20231110,8,22.44,98.0,6.0,112.0,87.0,5.0,255.0,1.0,2.0,1.0,6.0,1022.4592261904761,87.19624999999999,12.573154761904762,74.41654761904762,0.999342923682231
53,B농가,9,20231110,9,27.06,89.0,6.0,91.0,89.0,3.0,230.0,1.0,4.0,1.0,6.0,1022.4592261904761,87.19624999999999,12.573154761904762,74.41654761904762,0.999342923682231
