,시설아이디,weeks,조사일자,표본번호,관부직경,엽병장,엽수,엽장,엽폭,개화수,초장,최종화방차수,화방 꽃수(소화수),supplyEC,supplyPH,innerCO2,innerHum,innerTemp,innerSolar,CO2
0,B농가,4,20231006,1,12.39,139.0,5.0,79.0,70.0,0.0,255.0,0.0,0.0,153.33,983.83,152253.13,12967.8,2616.99,19739.88,145.14353584447144
1,B농가,4,20231006,2,12.59,146.0,5.0,78.0,77.0,0.0,251.0,0.0,0.0,153.33,983.83,152253.13,12967.8,2616.99,19739.88,145.14353584447144
2,B농가,4,20231006,3,13.91,100.0,6.0,73.0,68.0,0.0,209.0,0.0,0.0,153.33,983.83,152253.13,12967.8,2616.99,19739.88,145.14353584447144
3,B농가,4,20231006,4,10.36,111.0,4.0,83.0,80.0,0.0,264.0,0.0,0.0,153.33,983.83,152253.13,12967.8,2616.99,19739.88,145.14353584447144
4,B농가,4,20231006,5,9.48,203.0,3.0,94.0,94.0,0.0,307.0,0.0,0.0,153.33,983.83,152253.13,12967.8,2616.99,19739.88,145.14353584447144
5,B농가,4,20231006,6,15.66,121.0,5.0,96.0,58.0,0.0,291.0,0.0,0.0,153.33,983.83,152253.13,12967.8,2616.99,19739.88,145.14353584447144
6,B농가,4,20231006,7,13.91,159.0,5.0,74.0,72.0,0.0,268.0,0.0,0.0,153.33,983.83,152253.13,12967.8,2616.99,19739.88,145.14353584447144
7,B농가,4,20231006,8,10.39,240.0,4.0,79.0,64.0,0.0,293.0,0.0,0.0,153.33,983.83,152253.13,12967.8,2616.99,19739.88,145.14353584447144
8,B농가,4,20231006,9,11.61,122.0,4.0,68.0,58.0,0.0,237.0,0.0,0.0,153.33,983.83,152253.13,12967.8,2616.99,19739.88,145.14353584447144
9,B농가,5,20231013,1,13.09,142.0,6.0,84.0,74.0,0.0,269.0,0.0,0.0,168.0,1008.0,171803.85,14028.27,2452.51,18048.21,167.92691373025517
10,B농가,5,20231013,2,17.78,149.0,6.0,79.0,80.0,0.0,276.0,0.0,0.0,168.0,1008.0,171803.85,14028.27,2452.51,18048.21,167.92691373025517
11,B농가,5,20231013,3,20.77,125.0,6.0,84.0,76.0,0.0,222.0,0.0,0.0,168.0,1008.0,171803.85,14028.27,2452.51,18048.21,167.92691373025517
12,B농가,5,20231013,4,14.95,122.0,4.0,99.0,92.0,0.0,283.0,0.0,0.0,168.0,1008.0,171803.85,14028.27,2452.51,18048.21,167.92691373025517
13,B농가,5,20231013,5,11.98,162.0,4.0,83.0,74.0,0.0,329.0,0.0,0.0,168.0,1008.0,171803.85,14028.27,2452.51,18048.21,167.92691373025517
14,B농가,5,20231013,6,21.82,146.0,6.0,103.0,96.0,0.0,297.0,0.0,0.0,168.0,1008.0,171803.85,14028.27,2452.51,18048.21,167.92691373025517
15,B농가,5,20231013,7,14.99,146.0,6.0,98.0,81.0,0.0,298.0,0.0,0.0,168.0,1008.0,171803.85,14028.27,2452.51,18048.21,167.92691373025517
16,B농가,5,20231013,8,16.38,151.0,5.0,103.0,92.0,0.0,314.0,0.0,0.0,168.0,1008.0,171803.85,14028.27,2452.51,18048.21,167.92691373025517
17,B농가,5,20231013,9,13.88,158.0,4.0,89.0,74.0,0.0,261.0,0.0,0.0,168.0,1008.0,171803.85,14028.27,2452.51,18048.21,167.92691373025517
18,B농가,6,20231020,1,17.74,121.0,6.0,96.0,94.0,0.0,273.0,0.0,0.0,168.0,1008.0,171805.01,14808.5,2286.32,18542.51,167.92832320777643
19,B농가,6,20231020,2,18.45,92.0,7.0,82.0,74.0,0.0,273.0,0.0,0.0,168.0,1008.0,171805.01,14808.5,2286.32,18542.51,167.92832320777643
20,B농가,6,20231020,3,21.01,115.0,7.0,82.0,77.0,0.0,227.0,0.0,0.0,168.0,1008.0,171805.01,14808.5,2286.32,18542.51,167.92832320777643
21,B농가,6,20231020,4,17.92,132.0,5.0,105.0,96.0,0.0,291.0,0.0,0.0,168.0,1008.0,171805.01,14808.5,2286.32,18542.51,167.92832320777643
22,B농가,6,20231020,5,16.16,158.0,4.0,103.0,98.0,0.0,338.0,0.0,0.0,168.0,1008.0,171805.01,14808.5,2286.32,18542.51,167.92832320777643
23,B농가,6,20231020,6,22.57,142.0,6.0,105.0,99.0,0.0,300.0,0.0,0.0,168.0,1008.0,171805.01,14808.5,2286.32,18542.51,167.92832320777643
24,B농가,6,20231020,7,18.41,105.0,6.0,98.0,83.0,0.0,301.0,0.0,0.0,168.0,1008.0,171805.01,14808.5,2286.32,18542.51,167.92832320777643
25,B농가,6,20231020,8,20.87,152.0,5.0,98.0,86.0,0.0,321.0,0.0,0.0,168.0,1008.0,171805.01,14808.5,2286.32,18542.51,167.92832320777643
26,B농가,6,20231020,9,18.18,122.0,4.0,105.0,98.0,0.0,263.0,0.0,0.0,168.0,1008.0,171805.01,14808.5,2286.32,18542.51,167.92832320777643
27,B농가,7,20231027,1,19.81,123.0,7.0,99.0,95.0,0.0,276.0,1.0,0.0,145.17,1008.35,170774.7,15596.41,2366.99,17095.49,166.9194410692588
28,B농가,7,20231027,2,21.04,101.0,7.0,82.0,83.0,0.0,276.0,0.0,0.0,145.17,1008.35,170774.7,15596.41,2366.99,17095.49,166.9194410692588
29,B농가,7,20231027,3,22.29,113.0,7.0,92.0,87.0,0.0,230.0,1.0,0.0,145.17,1008.35,170774.7,15596.41,2366.99,17095.49,166.9194410692588
30,B농가,7,20231027,4,21.61,103.0,5.0,96.0,85.0,0.0,295.0,0.0,0.0,145.17,1008.35,170774.7,15596.41,2366.99,17095.49,166.9194410692588
31,B농가,7,20231027,5,18.44,162.0,5.0,104.0,99.0,0.0,344.0,1.0,0.0,145.17,1008.35,170774.7,15596.41,2366.99,17095.49,166.9194410692588
32,B농가,7,20231027,6,22.77,143.0,7.0,104.0,99.0,0.0,307.0,1.0,0.0,145.17,1008.35,170774.7,15596.41,2366.99,17095.49,166.9194410692588
33,B농가,7,20231027,7,19.59,143.0,7.0,98.0,84.0,0.0,305.0,0.0,0.0,145.17,1008.35,170774.7,15596.41,2366.99,17095.49,166.9194410692588
34,B농가,7,20231027,8,20.97,92.0,6.0,104.0,88.0,0.0,324.0,0.0,0.0,145.17,1008.35,170774.7,15596.41,2366.99,17095.49,166.9194410692588
35,B농가,7,20231027,9,21.06,98.0,6.0,90.0,85.0,0.0,266.0,0.0,0.0,145.17,1008.35,170774.7,15596.41,2366.99,17095.49,166.9194410692588
36,B농가,8,20231103,1,20.03,126.0,5.0,99.0,96.0,1.0,236.0,1.0,2.0,154.83,1019.16,162652.16,14574.15,2756.06,12301.16,156.80699878493317
