"연번","시도","시군구","기관명"
"1","서울특별시","종로구","종로노인종합복지관"
"2","서울특별시","중구","약수노인종합복지관"
"3","서울특별시","중구","유락종합사회복지관"
"4","서울특별시","중구","중림종합사회복지관"
"5","서울특별시","용산구","용산노인종합복지관"
"6","서울특별시","용산구","갈월종합사회복지관"
"7","서울특별시","용산구","효창종합사회복지관"
"8","서울특별시","용산구","청파노인복지센터"
"9","서울특별시","용산구","용산재가노인지원센터"
"10","서울특별시","성동구","성동노인종합복지관"
"11","서울특별시","성동구","옥수재가노인지원센터"
"12","서울특별시","광진구","늘푸른돌봄센터"
"13","서울특별시","광진구","광진노인종합복지관"
"14","서울특별시","동대문구","동대문노인종합복지관"
"15","서울특별시","동대문구","은천재가노인지원센터"
"16","서울특별시","동대문구","우리사랑재가노인지원센터"
"17","서울특별시","중랑구","구립신내노인종합복지관"
"18","서울특별시","중랑구","시립중랑노인종합복지관"
"19","서울특별시","중랑구","면목종합사회복지관"
"20","서울특별시","중랑구","(사)여명복지회 여명재가노인지원센터"
"21","서울특별시","성북구","정릉종합사회복지관"
"22","서울특별시","중구","길음종합사회복지관"
"23","서울특별시","성북구","생명의전화종합사회복지관"
"24","서울특별시","성북구","성북노인종합복지관"
"25","서울특별시","강북구","시립강북노인종합복지관"
"26","서울특별시","강북구","번동3단지종합사회복지관"
"27","서울특별시","강북구","강북재가노인지원센터"
"28","서울특별시","도봉구","도봉노인종합복지관"
"29","서울특별시","도봉구","창동종합사회복지관"
"30","서울특별시","도봉구","한결재가돌봄센터"
"31","서울특별시","노원구","서울노원남부지역자센터"
"32","서울특별시","노원구","노원노인종합복지관"
"33","서울특별시","노원구","노원구어르신돌봄지원센터"
"34","서울특별시","은평구","은평어르신돌봄통합지원센터"
"35","서울특별시","은평구","시립은평노인종합복지관"
"36","서울특별시","서대문구","서대문노인종합복지관"
"37","서울특별시","서대문구","효림재가노인지원센터"
"38","서울특별시","마포구","마포노인복지센터"
"39","서울특별시","마포구","마포어르신돌봄통합센터"
"40","서울특별시","양천구","양천어르신종합복지관"
"41","서울특별시","양천구","서서울어르신복지관"
"42","서울특별시","양천구","목동실버복지문화센터"
"43","서울특별시","강서구","참사랑재가노인지원센터"
"44","서울특별시","강서구","강서노인종합복지관"
"45","서울특별시","강서구","강서구립봉제산노인복지센터"
"46","서울특별시","구로구","구로어르신돌봄통합센터"
"47","서울특별시","구로구","구로노인종합복지관"
"48","서울특별시","구로구","궁동종합사회복지관"
"49","서울특별시","금천구","금천한내어르신복지센터"
"50","서울특별시","금천구","금천호암노인복지관"
"51","서울특별시","금천구","금천노인종합복지관"
"52","서울특별시","영등포구","사회복지법인 한국노인복지회(구립영등포노인복지센터)"
"53","서울특별시","영등포구","영등포종합사회복지관"
"54","서울특별시","영등포구","신길종합사회복지관"
"55","서울특별시","영등포구","영등포노인종합복지관"
"56","서울특별시","동작구","동작노인종합복지관"
"57","서울특별시","동작구","사당어르신종합복지관"
