
Variable          Rec   Start     End  Format

ID                  1       1      11  F11.0
id1                 1      12      14  F3.0
id2                 1      15      17  F3.0
id3                 1      18      18  F1.0
id4                 1      19      19  F1.0
id5                 1      20      22  F3.0
g1                  1      23      23  F1.0
g2                  1      24      24  F1.0
g3                  1      25      25  F1.0
g4                  1      26      27  F2.0
g5                  1      28      28  F1.0
g6                  1      29      32  F4.0
g7                  1      33      34  F2.0
g8                  1      35      36  F2.0
g9                  1      37      37  F1.0
g10                 1      38      38  F1.0
g11                 1      39      39  F1.0
g12                 1      40      40  F1.0
g13                 1      41      44  F4.0
g14                 1      45      46  F2.0
g15                 1      47      48  F2.0
g16                 1      49      49  F1.0
g17                 1      50      51  F2.0
g18                 1      52      52  F1.0
g19                 1      53      53  F1.0
g20                 1      54      57  F4.0
g21                 1      58      59  F2.0
g22                 1      60      61  F2.0
g23                 1      62      62  F1.0
g24                 1      63      64  F2.0
g25                 1      65      65  F1.0
g26                 1      66      66  F1.0
g27                 1      67      70  F4.0
g28                 1      71      72  F2.0
g29                 1      73      74  F2.0
g30                 1      75      75  F1.0
g31                 1      76      77  F2.0
g32                 1      78      78  F1.0
g33                 1      79      79  F1.0
g34                 1      80      83  F4.0
g35                 1      84      85  F2.0
g36                 1      86      87  F2.0
g37                 1      88      88  F1.0
g38                 1      89      90  F2.0
g39                 1      91      91  F1.0
g40                 1      92      92  F1.0
g41                 1      93      96  F4.0
g42                 1      97      98  F2.0
g43                 1      99     100  F2.0
g44                 1     101     101  F1.0
g45                 1     102     103  F2.0
g46                 1     104     104  F1.0
g47                 1     105     105  F1.0
g48                 1     106     109  F4.0
g49                 1     110     111  F2.0
g50                 1     112     113  F2.0
g51                 1     114     114  F1.0
g52                 1     115     116  F2.0
g53                 1     117     117  F1.0
g54                 1     118     118  F1.0
g55                 1     119     122  F4.0
g56                 1     123     124  F2.0
g57                 1     125     126  F2.0
g58                 1     127     127  F1.0
g59                 1     128     129  F2.0
g60                 1     130     130  F1.0
g61                 1     131     131  F1.0
a1                  1     132     132  F1.0
a2                  1     133     133  F1.0
a3                  1     134     135  F2.0
a4                  1     136     136  F1.0
a5                  1     137     138  F2.0
a6                  1     139     139  F1.0
a7                  1     140     141  F2.0
a8                  1     142     142  F1.0
a9                  1     143     144  F2.0
a10                 1     145     145  F1.0
a11                 1     146     149  F4.0
a12                 1     150     153  F4.0
a13                 1     154     159  F6.0
