
Variable          Rec   Start     End  Format

id1                 1       1       3  F3.0
id2                 1       4       5  F2.0
id3                 1       6       6  F1.0
id4                 1       7       8  F2.0
cd1                 1       9       9  F1.0
a1                  1      10      10  F1.0
a2                  1      11      12  F2.0
a3                  1      13      14  F2.0
a4                  1      15      15  F1.0
a5                  1      16      16  F1.0
a6                  1      17      17  F1.0
a7                  1      18      18  F1.0
a8                  1      19      19  F1.0
a9                  1      20      20  F1.0
a10                 1      21      21  F1.0
a11                 1      22      22  F1.0
a12                 1      23      23  F1.0
a13                 1      24      24  F1.0
a14                 1      25      25  F1.0
a15                 1      26      26  F1.0
a16                 1      27      27  F1.0
a17                 1      28      28  F1.0
a18                 1      29      29  F1.0
a19                 1      30      30  F1.0
a20                 1      31      31  F1.0
a21                 1      32      33  F2.0
a22                 1      34      34  F1.0
a23                 1      35      35  F1.0
a24                 1      36      36  F1.0
a25                 1      37      37  F1.0
a26                 1      38      38  F1.0
a27                 1      39      39  F1.0
a28                 1      40      40  F1.0
a29                 1      41      41  F1.0
a30                 1      42      42  F1.0
a31                 1      43      43  F1.0
a32                 1      44      44  F1.0
a33                 1      45      45  F1.0
a34                 1      46      46  F1.0
a35                 1      47      47  F1.0
a36                 1      48      48  F1.0
a37                 1      49      49  F1.0
a38                 1      50      50  F1.0
a39                 1      51      51  F1.0
a40                 1      52      52  F1.0
a41                 1      53      53  F1.0
a42                 1      54      54  F1.0
a43                 1      55      55  F1.0
a44                 1      56      56  F1.0
a45                 1      57      57  F1.0
a46                 1      58      58  F1.0
a47                 1      59      59  F1.0
a48                 1      60      60  F1.0
a49                 1      61      61  F1.0
a50                 1      62      62  F1.0
a51                 1      63      63  F1.0
a52                 1      64      64  F1.0
a53                 1      65      65  F1.0
a54                 1      66      66  F1.0
a55                 1      67      67  F1.0
a56                 1      68      68  F1.0
a57                 1      69      69  F1.0
a58                 1      70      70  F1.0
a59                 1      71      71  F1.0
a60                 1      72      72  F1.0
a61                 1      73      73  F1.0
a62                 1      74      74  F1.0
a63                 1      75      75  F1.0
a64                 1      76      76  F1.0
a65                 1      77      77  F1.0
a66                 1      78      78  F1.0
a67                 1      79      79  F1.0
a68                 1      80      80  F1.0
a69                 1      81      82  F2.0
a70                 1      83      84  F2.0
a71                 1      85      86  F2.0
a72                 1      87      88  F2.0
a73                 1      89      90  F2.0
a74                 1      91      93  F3.0
a75                 1      94      94  F1.0
a76                 1      95      95  F1.0
a77                 1      96      96  F1.0
a78                 1      97      98  F2.0
a79                 1      99      99  F1.0
a80                 1     100     101  F2.0
a81                 1     102     102  F1.0
a82                 1     103     103  F1.0
a83                 1     104     104  F1.0
a84                 1     105     105  F1.0
a85                 1     106     106  F1.0
a86                 1     107     107  F1.0
a87                 1     108     108  F1.0
a88                 1     109     109  F1.0
a89                 1     110     110  F1.0
a90                 1     111     111  F1.0
a91                 1     112     113  F2.0
a92                 1     114     116  F3.0
a93                 1     117     117  F1.0
a94                 1     118     118  F1.0
a95                 1     119     119  F1.0
a96                 1     120     120  F1.0
a97                 1     121     121  F1.0
a98                 1     122     122  F1.0
a99                 1     123     123  F1.0
a100                1     124     124  F1.0
wt                  1     125     131  F7.4
wtg                 1     132     138  F7.4
cd2                 1     139     139  F1.0
b1                  1     140     140  F1.0
b2                  1     141     141  F1.0
b3                  1     142     142  F1.0
b4                  1     143     143  F1.0
b5                  1     144     144  F1.0
b6                  1     145     145  F1.0
b7                  1     146     146  F1.0
b8                  1     147     147  F1.0
b9                  1     148     148  F1.0
b10                 1     149     149  F1.0
b11                 1     150     150  F1.0
b12                 1     151     152  F2.0
