
Variable          Rec   Start     End  Format

jobun               1       1       3  F3.0
jof                 1       4       4  F1.0
gubun               1       5       6  F2.0
gagubun             1       7       8  F2.0
guebun              1       9       9  F1.0
gueibun             1      10      11  F2.0
jokind2             1      12      12  F1.0
CD11                1      13      14  F2.0
F1                  1      15      15  F1.0
F2                  1      16      17  F2.0
F3                  1      18      19  F2.0
F4                  1      20      23  F4.0
F5                  1      24      25  F2.0
F6                  1      26      27  F2.0
F7                  1      28      28  F1.0
F8                  1      29      30  F2.0
F9                  1      31      31  F1.0
F10                 1      32      32  F1.0
F11                 1      33      33  F1.0
F12                 1      34      35  F2.0
F13                 1      36      36  F1.0
F14                 1      37      37  F1.0
F15                 1      38      38  F1.0
F16                 1      39      39  F1.0
F17                 1      40      40  F1.0
F18                 1      41      41  F1.0
F19                 1      42      42  F1.0
F20                 1      43      43  F1.0
F21                 1      44      44  F1.0
F22                 1      45      45  F1.0
F23                 1      46      46  F1.0
F24                 1      47      47  F1.0
F25                 1      48      48  F1.0
F26                 1      49      50  F2.0
F27                 1      51      51  F1.0
F28                 1      52      53  F2.0
F29                 1      54      54  F1.0
F30                 1      55      56  F2.0
F31                 1      57      57  F1.0
F32                 1      58      61  F4.0
F33                 1      62      62  F1.0
F34                 1      63      66  F4.0
F35                 1      67      68  F2.0
F36                 1      69      70  F2.0
F37                 1      71      72  F2.0
F38                 1      73      74  F2.0
F39                 1      75      76  F2.0
F40                 1      77      77  F1.0
F41                 1      78      78  F1.0
F42                 1      79      80  F2.0
F43                 1      81      82  F2.0
F44                 1      83      84  F2.0
F45                 1      85      86  F2.0
F46                 1      87      87  F1.0
F47                 1      88      88  F1.0
F48                 1      89      90  F2.0
F49                 1      91      92  F2.0
F50                 1      93      94  F2.0
F51                 1      95      96  F2.0
CD12                1      97      98  F2.0
G1                  1      99      99  F1.0
G2                  1     100     100  F1.0
G3                  1     101     102  F2.0
G4                  1     103     104  F2.0
G5                  1     105     105  F1.0
G6                  1     106     106  F1.0
G7                  1     107     108  F2.0
G8                  1     109     110  F2.0
G9                  1     111     112  F2.0
G10                 1     113     114  F2.0
G11                 1     115     116  F2.0
G12                 1     117     118  F2.0
G13                 1     119     119  F1.0
G14                 1     120     120  F1.0
G15                 1     121     122  F2.0
G16                 1     123     124  F2.0
G17                 1     125     126  F2.0
G18                 1     127     128  F2.0
G19                 1     129     130  F2.0
G20                 1     131     131  F1.0
G21                 1     132     133  F2.0
G22                 1     134     135  F2.0
G23                 1     136     139  F4.0
G24                 1     140     141  F2.0
G25                 1     142     142  F1.0
G26                 1     143     144  F2.0
G27                 1     145     145  F1.0
G28                 1     146     149  F4.0
G29                 1     150     150  F1.0
