"자치구별(1)","자치구별(2)","항목",시점,합계,방문요양서비스,주ㆍ야간 보호 서비스,단기보호서비스,방문목욕서비스,방문간호서비스,복지용구지원서비스,재가노인지원서비스
"합계","소계","시설수 (개소)",2022,1878,767,457,23,547,24,42,18
"합계","소계","이용인원-정원 (명)",2022,14629,-,14380,249,-,-,-,-
"합계","소계","이용인원-현원 (명)",2022,39483,19912,12243,205,1840,315,2626,2342
"합계","소계","종사자수 (명)",2022,33582,21086,5517,113,6610,97,62,97
"합계","종로구","시설수 (개소)",2022,20,7,5,-,5,1,1,1
"합계","종로구","이용인원-정원 (명)",2022,102,-,102,-,-,-,-,-
"합계","종로구","이용인원-현원 (명)",2022,428,167,88,-,11,-,31,131
"합계","종로구","종사자수 (명)",2022,260,179,58,-,17,-,1,5
"합계","중구","시설수 (개소)",2022,26,10,6,-,9,-,-,1
"합계","중구","이용인원-정원 (명)",2022,203,-,203,-,-,-,-,-
"합계","중구","이용인원-현원 (명)",2022,679,338,177,-,-,-,-,164
"합계","중구","종사자수 (명)",2022,360,259,87,-,10,-,-,4
"합계","용산구","시설수 (개소)",2022,21,8,6,-,6,-,-,1
"합계","용산구","이용인원-정원 (명)",2022,139,-,139,-,-,-,-,-
"합계","용산구","이용인원-현원 (명)",2022,395,76,134,-,32,-,-,153
"합계","용산구","종사자수 (명)",2022,181,54,68,-,55,-,-,4
"합계","성동구","시설수 (개소)",2022,43,17,13,1,10,-,2,-
"합계","성동구","이용인원-정원 (명)",2022,360,-,351,9,-,-,-,-
"합계","성동구","이용인원-현원 (명)",2022,625,272,312,9,32,-,-,-
"합계","성동구","종사자수 (명)",2022,476,264,157,10,29,-,16,-
"합계","광진구","시설수 (개소)",2022,45,17,11,3,11,-,2,1
"합계","광진구","이용인원-정원 (명)",2022,508,-,482,26,-,-,-,-
"합계","광진구","이용인원-현원 (명)",2022,856,292,396,9,19,-,-,140
"합계","광진구","종사자수 (명)",2022,484,206,165,6,101,-,2,4
"합계","동대문구","시설수 (개소)",2022,82,29,25,4,18,2,2,2
"합계","동대문구","이용인원-정원 (명)",2022,892,-,868,24,-,-,-,-
"합계","동대문구","이용인원-현원 (명)",2022,1417,340,673,46,87,5,-,266
"합계","동대문구","종사자수 (명)",2022,742,349,292,14,70,3,5,9
"합계","중랑구","시설수 (개소)",2022,155,61,28,10,50,3,2,1
"합계","중랑구","이용인원-정원 (명)",2022,960,-,800,160,-,-,-,-
"합계","중랑구","이용인원-현원 (명)",2022,2643,1632,590,129,57,99,-,136
"합계","중랑구","종사자수 (명)",2022,2132,1598,275,77,152,23,3,4
"합계","성북구","시설수 (개소)",2022,78,30,22,-,24,-,1,1
"합계","성북구","이용인원-정원 (명)",2022,747,-,747,-,-,-,-,-
"합계","성북구","이용인원-현원 (명)",2022,1295,423,639,-,38,-,76,119
"합계","성북구","종사자수 (명)",2022,911,520,275,-,109,-,3,4
"합계","강북구","시설수 (개소)",2022,101,44,21,2,29,3,1,1
"합계","강북구","이용인원-정원 (명)",2022,598,-,583,15,-,-,-,-
"합계","강북구","이용인원-현원 (명)",2022,1640,797,494,12,157,38,-,142
"합계","강북구","종사자수 (명)",2022,1252,805,241,6,162,9,1,28
"합계","도봉구","시설수 (개소)",2022,98,41,21,-,34,2,-,-
"합계","도봉구","이용인원-정원 (명)",2022,620,-,620,-,-,-,-,-
"합계","도봉구","이용인원-현원 (명)",2022,1318,730,479,-,69,40,-,-
"합계","도봉구","종사자수 (명)",2022,1137,773,237,-,120,7,-,-
"합계","노원구","시설수 (개소)",2022,132,59,27,1,40,2,3,-
"합계","노원구","이용인원-정원 (명)",2022,805,-,805,-,-,-,-,-
"합계","노원구","이용인원-현원 (명)",2022,1774,891,713,-,77,5,88,-
"합계","노원구","종사자수 (명)",2022,1496,1033,292,-,163,6,2,-
"합계","은평구","시설수 (개소)",2022,107,49,26,-,27,1,4,-
"합계","은평구","이용인원-정원 (명)",2022,648,-,648,-,-,-,-,-
"합계","은평구","이용인원-현원 (명)",2022,1755,879,578,-,37,-,261,-
"합계","은평구","종사자수 (명)",2022,1481,1052,283,-,143,-,3,-
"합계","서대문구","시설수 (개소)",2022,53,20,18,-,11,-,3,1
"합계","서대문구","이용인원-정원 (명)",2022,440,-,440,-,-,-,-,-
"합계","서대문구","이용인원-현원 (명)",2022,849,252,428,-,35,-,-,134
"합계","서대문구","종사자수 (명)",2022,533,281,200,-,42,-,5,5
"합계","마포구","시설수 (개소)",2022,44,18,18,-,8,-,-,-
"합계","마포구","이용인원-정원 (명)",2022,587,-,587,-,-,-,-,-
