"자치구별(1)",자치구별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"자치구별(1)",자치구별(2),합계,합계,합계,합계,방문요양서비스,방문요양서비스,방문요양서비스,방문요양서비스,주ㆍ야간 보호 서비스,주ㆍ야간 보호 서비스,주ㆍ야간 보호 서비스,주ㆍ야간 보호 서비스,단기보호서비스,단기보호서비스,단기보호서비스,단기보호서비스,방문목욕서비스,방문목욕서비스,방문목욕서비스,방문목욕서비스,방문간호서비스,방문간호서비스,방문간호서비스,방문간호서비스,복지용구지원서비스,복지용구지원서비스,복지용구지원서비스,복지용구지원서비스,재가노인지원서비스,재가노인지원서비스,재가노인지원서비스,재가노인지원서비스
"자치구별(1)",자치구별(2),시설수 (개소),이용인원-정원 (명),이용인원-현원 (명),종사자수 (명),시설수 (개소),이용인원-정원 (명),이용인원-현원 (명),종사자수 (명),시설수 (개소),이용인원-정원 (명),이용인원-현원 (명),종사자수 (명),시설수 (개소),이용인원-정원 (명),이용인원-현원 (명),종사자수 (명),시설수 (개소),이용인원-정원 (명),이용인원-현원 (명),종사자수 (명),시설수 (개소),이용인원-정원 (명),이용인원-현원 (명),종사자수 (명),시설수 (개소),이용인원-정원 (명),이용인원-현원 (명),종사자수 (명),시설수 (개소),이용인원-정원 (명),이용인원-현원 (명),종사자수 (명)
"합계",소계,1878,14629,39483,33582,767,-,19912,21086,457,14380,12243,5517,23,249,205,113,547,-,1840,6610,24,-,315,97,42,-,2626,62,18,-,2342,97
"합계",종로구,20,102,428,260,7,-,167,179,5,102,88,58,-,-,-,-,5,-,11,17,1,-,-,-,1,-,31,1,1,-,131,5
"합계",중구,26,203,679,360,10,-,338,259,6,203,177,87,-,-,-,-,9,-,-,10,-,-,-,-,-,-,-,-,1,-,164,4
"합계",용산구,21,139,395,181,8,-,76,54,6,139,134,68,-,-,-,-,6,-,32,55,-,-,-,-,-,-,-,-,1,-,153,4
"합계",성동구,43,360,625,476,17,-,272,264,13,351,312,157,1,9,9,10,10,-,32,29,-,-,-,-,2,-,-,16,-,-,-,-
"합계",광진구,45,508,856,484,17,-,292,206,11,482,396,165,3,26,9,6,11,-,19,101,-,-,-,-,2,-,-,2,1,-,140,4
"합계",동대문구,82,892,1417,742,29,-,340,349,25,868,673,292,4,24,46,14,18,-,87,70,2,-,5,3,2,-,-,5,2,-,266,9
"합계",중랑구,155,960,2643,2132,61,-,1632,1598,28,800,590,275,10,160,129,77,50,-,57,152,3,-,99,23,2,-,-,3,1,-,136,4
"합계",성북구,78,747,1295,911,30,-,423,520,22,747,639,275,-,-,-,-,24,-,38,109,-,-,-,-,1,-,76,3,1,-,119,4
"합계",강북구,101,598,1640,1252,44,-,797,805,21,583,494,241,2,15,12,6,29,-,157,162,3,-,38,9,1,-,-,1,1,-,142,28
"합계",도봉구,98,620,1318,1137,41,-,730,773,21,620,479,237,-,-,-,-,34,-,69,120,2,-,40,7,-,-,-,-,-,-,-,-
"합계",노원구,132,805,1774,1496,59,-,891,1033,27,805,713,292,1,-,-,-,40,-,77,163,2,-,5,6,3,-,88,2,-,-,-,-
"합계",은평구,107,648,1755,1481,49,-,879,1052,26,648,578,283,-,-,-,-,27,-,37,143,1,-,-,-,4,-,261,3,-,-,-,-
"합계",서대문구,53,440,849,533,20,-,252,281,18,440,428,200,-,-,-,-,11,-,35,42,-,-,-,-,3,-,-,5,1,-,134,5
"합계",마포구,44,587,1141,914,18,-,514,511,18,587,566,301,-,-,-,-,8,-,61,102,-,-,-,-,-,-,-,-,-,-,-,-
"합계",양천구,138,1002,2282,1819,57,-,978,1080,29,1002,782,331,-,-,-,-,47,-,224,401,-,-,-,-,4,-,148,3,1,-,150,4
"합계",강서구,83,972,2098,1101,33,-,718,688,26,972,784,333,-,-,-,-,18,-,8,39,3,-,98,34,2,-,348,3,1,-,142,4
"합계",구로구,68,755,1335,821,28,-,624,486,21,755,649,276,-,-,-,-,19,-,62,59,-,-,-,-,-,-,-,-,-,-,-,-
"합계",금천구,41,365,717,451,15,-,206,223,13,365,296,144,-,-,-,-,9,-,39,77,-,-,-,-,3,-,40,3,1,-,136,4
"합계",영등포구,77,380,541,512,35,-,148,213,15,380,351,176,-,-,-,-,27,-,42,123,-,-,-,-,-,-,-,-,-,-,-,-
"합계",동작구,72,379,1316,1082,33,-,746,805,13,379,353,180,-,-,-,-,25,-,84,92,-,-,-,-,-,-,-,-,1,-,133,5
"합계",관악구,82,775,1546,1110,31,-,668,714,24,775,643,282,-,-,-,-,22,-,95,110,1,-,-,-,3,-,-,-,1,-,140,4
"합계",서초구,54,268,6337,10449,22,-,5766,6337,10,261,241,103,1,7,-,-,19,-,306,4003,2,-,24,6,-,-,-,-,-,-,-,-
"합계",강남구,59,477,2829,1197,21,-,824,838,17,477,450,215,-,-,-,-,17,-,72,138,-,-,-,-,4,-,1483,6,-,-,-,-
"합계",송파구,117,903,2154,1530,48,-,977,1033,23,895,812,299,1,8,-,-,36,-,85,179,4,-,6,9,4,-,151,6,1,-,123,4
"합계",강동구,82,744,1513,1151,34,-,654,785,19,744,615,247,-,-,-,-,26,-,111,114,-,-,-,-,1,-,-,-,2,-,133,5
