센터명,위도,경도,주소
강남구가족센터,37.494018,127.077684,대한민국 서울특별시
강동구가족센터,37.5434014,127.125428,대한민국 서울특별시 강동구 천호동 358
강북구가족센터,37.6444906,127.010823,대한민국 서울특별시 강북구
강서구건강가정지원센터,37.5480624,126.8419,대한민국 서울특별시
관악구가족센터,37.4818452,126.9145619,대한민국 서울특별시 관악구
광진구가족센터,37.5451021,127.0854269,대한민국 서울특별시 광진구
구로구가족센터,37.4824954,126.8898602,대한민국 서울특별시 구로구 우마2길 35
금천구가족센터,37.4554309,126.9041571,대한민국 서울특별시 금천구 금하로11길 40
노원구가족센터,37.6224463,127.0726254,대한민국 서울특별시
도봉구가족센터,37.6542196,127.0386556,대한민국 서울특별시
동대문구가족센터,37.5718894,127.0340686,대한민국 서울특별시 동대문구 청계천로 521 다사랑행복센터 7층
동작구아이돌봄지원사업,37.4988794,126.9516345,대한민국 서울특별시 동작구
마포구가족센터,37.5586289,126.9244033,대한민국 서울특별시 마포구 양화로 19
서대문구 가족센터,37.58298509999999,126.9128737,대한민국 서울특별시 서대문구 증가로 244
서초구가족센터,37.4802819,126.9990252,대한민국 서울특별시 서초구 방배3동 983-14
성동구가족센터,37.5582392,127.0389744,대한민국 서울특별시 성동구
성북구가족센터,37.6056991,127.0175664,대한민국 서울특별시 성북구
송파구가족센터,37.5056205,127.1152992,대한민국 서울특별시 송파구
양천구가족센터,37.5179925,126.8450447,대한민국 서울특별시 양천구 남부순환로 83 길 53 3층
영등포구가족센터,37.5223245,126.9101692,대한민국 서울특별시 영등포구
용산구가족센터,37.5347934,127.0000555,대한민국 서울특별시 용산구 한남동 이태원로 224-19 공영주차장복합문화센터 3층
은평구가족센터,37.6191784,126.9270142,대한민국 서울특별시 은평구
종로구가족센터,37.5736665,127.0132021,대한민국 서울특별시 종로구 종로53길 29
중구가족센터,35.8654887,128.5933653,대한민국 대구광역시 중구
중랑구아이돌봄지원센터,37.5941683,127.0931994,대한민국 서울특별시 중랑구
낙동종합사회복지관,35.1197529,128.902826,대한민국 부산광역시 강서구 순아강변길 5
금정구가족센터,35.2588922,129.0915364,대한민국 부산광역시 금정구
남구종합사회복지관,35.1272824,129.0751073,대한민국 부산광역시 남구 동제당로 258
동래구가족센터,35.1992691,129.0573604,대한민국 부산광역시 동래구 사직동 29-8번지
부산진구건강가정지원센터,35.159558,129.032646,대한민국 부산광역시 부산진구 백양대로160 부산진구 여성가족문화센터 3층
사회복지법인공덕향,35.2677029,129.0192828,대한민국 부산광역시 금곡동 53-1번지 북구 부산광역시 KR
사상구가족센터,35.1471557,128.9954094,대한민국 부산광역시 사상구 학장동
사하구가족센터,35.1030539,128.9575232,대한민국 부산광역시 사하구 하신번영로 245 노을이 아름다운 하단복합센터 3층
부산서구가족센터,35.0964532,129.0221394,대한민국 부산광역시 서구 구덕로 127
수영구가족센터,35.1458917,129.1086101,대한민국 부산광역시 수영구 황령산로7번길 45
연제구가족센터,35.1750755,129.0932582,대한민국 부산광역시 연제구 연산동 2131-5번지
영도구가족센터,35.0864987,129.0464896,대한민국 부산광역시 영도구 하나길 448
해운대구건강가정지원센터,35.1614914,129.1544025,대한민국 부산광역시 해운대구 해운대로 575 국제빌딩 11층
기장군가족센터,35.2360878,129.2136269,대한민국 부산광역시 기장군 기장읍 차성로 206 2층
대구남구가족센터,35.8417724,128.5945631,대한민국 대구광역시 남구 봉덕남로 99
대구달서구가족센터,35.8174127,128.5190108,대한민국 대구광역시 달서구 조암남로 137
대구달성군가족센터,35.7986647,128.488124,대한민국 대구광역시 달성군 성천로 5
대구동구가족센터,35.8657758,128.7177209,대한민국 대구광역시 동구 안심로 300
대구북구가족센터,35.9379689,128.5489865,대한민국 대구광역시 북구 칠곡중앙대로 473 조은빌딩 2층
대구서구가족센터,35.8861003,128.5787242,대한민국 대구광역시 서구 원대동 서대구로 330 5 6층
대구수성구가족센터,35.8392417,128.6183376,대한민국 대구광역시 수성구 두산동 30번지
대구중구가족센터,35.8692695,128.6061665,대한민국 대구광역시 중구 동인동2가 177-4
대구군위군가족센터,36.2360107,128.5666676,대한민국 경상북도 군위군
강화군가족센터,37.7065047,126.4433977,대한민국 인천광역시 강화군
