"행정구역","2021년07월_계_총인구수","2021년07월_계_연령구간인구수","2021년07월_계_0~9세","2021년07월_계_10~19세","2021년07월_계_20~29세","2021년07월_계_30~39세","2021년07월_계_40~49세","2021년07월_계_50~59세","2021년07월_계_60~69세","2021년07월_계_70~79세","2021년07월_계_80~89세","2021년07월_계_90~99세","2021년07월_계_100세 이상","2021년07월_남_총인구수","2021년07월_남_연령구간인구수","2021년07월_남_0~9세","2021년07월_남_10~19세","2021년07월_남_20~29세","2021년07월_남_30~39세","2021년07월_남_40~49세","2021년07월_남_50~59세","2021년07월_남_60~69세","2021년07월_남_70~79세","2021년07월_남_80~89세","2021년07월_남_90~99세","2021년07월_남_100세 이상","2021년07월_여_총인구수","2021년07월_여_연령구간인구수","2021년07월_여_0~9세","2021년07월_여_10~19세","2021년07월_여_20~29세","2021년07월_여_30~39세","2021년07월_여_40~49세","2021년07월_여_50~59세","2021년07월_여_60~69세","2021년07월_여_70~79세","2021년07월_여_80~89세","2021년07월_여_90~99세","2021년07월_여_100세 이상","2021년08월_계_총인구수","2021년08월_계_연령구간인구수","2021년08월_계_0~9세","2021년08월_계_10~19세","2021년08월_계_20~29세","2021년08월_계_30~39세","2021년08월_계_40~49세","2021년08월_계_50~59세","2021년08월_계_60~69세","2021년08월_계_70~79세","2021년08월_계_80~89세","2021년08월_계_90~99세","2021년08월_계_100세 이상","2021년08월_남_총인구수","2021년08월_남_연령구간인구수","2021년08월_남_0~9세","2021년08월_남_10~19세","2021년08월_남_20~29세","2021년08월_남_30~39세","2021년08월_남_40~49세","2021년08월_남_50~59세","2021년08월_남_60~69세","2021년08월_남_70~79세","2021년08월_남_80~89세","2021년08월_남_90~99세","2021년08월_남_100세 이상","2021년08월_여_총인구수","2021년08월_여_연령구간인구수","2021년08월_여_0~9세","2021년08월_여_10~19세","2021년08월_여_20~29세","2021년08월_여_30~39세","2021년08월_여_40~49세","2021년08월_여_50~59세","2021년08월_여_60~69세","2021년08월_여_70~79세","2021년08월_여_80~89세","2021년08월_여_90~99세","2021년08월_여_100세 이상","2021년09월_계_총인구수","2021년09월_계_연령구간인구수","2021년09월_계_0~9세","2021년09월_계_10~19세","2021년09월_계_20~29세","2021년09월_계_30~39세","2021년09월_계_40~49세","2021년09월_계_50~59세","2021년09월_계_60~69세","2021년09월_계_70~79세","2021년09월_계_80~89세","2021년09월_계_90~99세","2021년09월_계_100세 이상","2021년09월_남_총인구수","2021년09월_남_연령구간인구수","2021년09월_남_0~9세","2021년09월_남_10~19세","2021년09월_남_20~29세","2021년09월_남_30~39세","2021년09월_남_40~49세","2021년09월_남_50~59세","2021년09월_남_60~69세","2021년09월_남_70~79세","2021년09월_남_80~89세","2021년09월_남_90~99세","2021년09월_남_100세 이상","2021년09월_여_총인구수","2021년09월_여_연령구간인구수","2021년09월_여_0~9세","2021년09월_여_10~19세","2021년09월_여_20~29세","2021년09월_여_30~39세","2021년09월_여_40~49세","2021년09월_여_50~59세","2021년09월_여_60~69세","2021년09월_여_70~79세","2021년09월_여_80~89세","2021년09월_여_90~99세","2021년09월_여_100세 이상","2021년10월_계_총인구수","2021년10월_계_연령구간인구수","2021년10월_계_0~9세","2021년10월_계_10~19세","2021년10월_계_20~29세","2021년10월_계_30~39세","2021년10월_계_40~49세","2021년10월_계_50~59세","2021년10월_계_60~69세","2021년10월_계_70~79세","2021년10월_계_80~89세","2021년10월_계_90~99세","2021년10월_계_100세 이상","2021년10월_남_총인구수","2021년10월_남_연령구간인구수","2021년10월_남_0~9세","2021년10월_남_10~19세","2021년10월_남_20~29세","2021년10월_남_30~39세","2021년10월_남_40~49세","2021년10월_남_50~59세","2021년10월_남_60~69세","2021년10월_남_70~79세","2021년10월_남_80~89세","2021년10월_남_90~99세","2021년10월_남_100세 이상","2021년10월_여_총인구수","2021년10월_여_연령구간인구수","2021년10월_여_0~9세","2021년10월_여_10~19세","2021년10월_여_20~29세","2021년10월_여_30~39세","2021년10월_여_40~49세","2021년10월_여_50~59세","2021년10월_여_60~69세","2021년10월_여_70~79세","2021년10월_여_80~89세","2021년10월_여_90~99세","2021년10월_여_100세 이상","2021년11월_계_총인구수","2021년11월_계_연령구간인구수","2021년11월_계_0~9세","2021년11월_계_10~19세","2021년11월_계_20~29세","2021년11월_계_30~39세","2021년11월_계_40~49세","2021년11월_계_50~59세","2021년11월_계_60~69세","2021년11월_계_70~79세","2021년11월_계_80~89세","2021년11월_계_90~99세","2021년11월_계_100세 이상","2021년11월_남_총인구수","2021년11월_남_연령구간인구수","2021년11월_남_0~9세","2021년11월_남_10~19세","2021년11월_남_20~29세","2021년11월_남_30~39세","2021년11월_남_40~49세","2021년11월_남_50~59세","2021년11월_남_60~69세","2021년11월_남_70~79세","2021년11월_남_80~89세","2021년11월_남_90~99세","2021년11월_남_100세 이상","2021년11월_여_총인구수","2021년11월_여_연령구간인구수","2021년11월_여_0~9세","2021년11월_여_10~19세","2021년11월_여_20~29세","2021년11월_여_30~39세","2021년11월_여_40~49세","2021년11월_여_50~59세","2021년11월_여_60~69세","2021년11월_여_70~79세","2021년11월_여_80~89세","2021년11월_여_90~99세","2021년11월_여_100세 이상","2021년12월_계_총인구수","2021년12월_계_연령구간인구수","2021년12월_계_0~9세","2021년12월_계_10~19세","2021년12월_계_20~29세","2021년12월_계_30~39세","2021년12월_계_40~49세","2021년12월_계_50~59세","2021년12월_계_60~69세","2021년12월_계_70~79세","2021년12월_계_80~89세","2021년12월_계_90~99세","2021년12월_계_100세 이상","2021년12월_남_총인구수","2021년12월_남_연령구간인구수","2021년12월_남_0~9세","2021년12월_남_10~19세","2021년12월_남_20~29세","2021년12월_남_30~39세","2021년12월_남_40~49세","2021년12월_남_50~59세","2021년12월_남_60~69세","2021년12월_남_70~79세","2021년12월_남_80~89세","2021년12월_남_90~99세","2021년12월_남_100세 이상","2021년12월_여_총인구수","2021년12월_여_연령구간인구수","2021년12월_여_0~9세","2021년12월_여_10~19세","2021년12월_여_20~29세","2021년12월_여_30~39세","2021년12월_여_40~49세","2021년12월_여_50~59세","2021년12월_여_60~69세","2021년12월_여_70~79세","2021년12월_여_80~89세","2021년12월_여_90~99세","2021년12월_여_100세 이상"
"서울특별시  (1100000000)","9,558,153","9,558,153","599,600","764,952","1,440,484","1,449,434","1,497,354","1,505,745","1,274,190","696,452","286,511","40,954","2,477","4,645,177","4,645,177","307,748","391,949","695,318","724,203","741,884","741,685","601,834","317,171","112,410","10,359","616","4,912,976","4,912,976","291,852","373,003","745,166","725,231","755,470","764,060","672,356","379,281","174,101","30,595","1,861","9,550,227","9,550,227","596,448","763,356","1,439,293","1,446,242","1,493,290","1,505,336","1,277,991","696,313","288,376","41,066","2,516","4,640,740","4,640,740","306,199","391,081","694,343","722,592","739,942","741,473","603,802","316,988","113,314","10,383","623","4,909,487","4,909,487","290,249","372,275","744,950","723,650","753,348","763,863","674,189","379,325","175,062","30,683","1,893","9,542,256","9,542,256","593,167","761,868","1,436,423","1,444,106","1,490,032","1,506,315","1,280,475","696,015","290,067","41,236","2,552","4,636,069","4,636,069","304,536","390,354","692,283","721,531","738,346","742,021","604,869","316,961","114,123","10,415","630","4,906,187","4,906,187","288,631","371,514","744,140","722,575","751,686","764,294","675,606","379,054","175,944","30,821","1,922","9,532,428","9,532,428","590,061","760,182","1,430,877","1,442,893","1,486,100","1,507,444","1,283,216","696,346","291,651","41,430","2,228","4,630,630","4,630,630","303,009","389,543","689,280","720,614","736,322","742,615","606,204","317,028","114,953","10,482","580","4,901,798","4,901,798","287,052","370,639","741,597","722,279","749,778","764,829","677,012","379,318","176,698","30,948","1,648","9,520,880","9,520,880","586,559","758,445","1,426,394","1,440,774","1,483,164","1,507,704","1,285,127","695,892","293,290","41,521","2,010","4,624,290","4,624,290","301,243","388,791","686,810","719,415","734,754","742,848","607,002","316,719","115,686","10,523","499","4,896,590","4,896,590","285,316","369,654","739,584","721,359","748,410","764,856","678,125","379,173","177,604","30,998","1,511","9,509,458","9,509,458","583,683","756,136","1,422,277","1,439,279","1,480,780","1,507,194","1,285,922","695,800","295,009","41,735","1,643","4,618,040","4,618,040","299,764","387,691","684,530","718,763","733,371","742,757","607,114","316,508","116,524","10,637","381","4,891,418","4,891,418","283,919","368,445","737,747","720,516","747,409","764,437","678,808","379,292","178,485","31,098","1,262"
"서울특별시 종로구 (1111000000)","145,692","145,692","7,230","10,622","23,039","19,584","21,341","24,890","20,221","11,774","5,995","943","53","70,810","70,810","3,643","5,279","11,179","9,739","10,393","12,576","10,057","5,212","2,424","292","16","74,882","74,882","3,587","5,343","11,860","9,845","10,948","12,314","10,164","6,562","3,571","651","37","145,551","145,551","7,155","10,587","23,034","19,549","21,228","24,917","20,258","11,789","6,028","952","54","70,715","70,715","3,617","5,256","11,140","9,748","10,325","12,552","10,095","5,229","2,443","293","17","74,836","74,836","3,538","5,331","11,894","9,801","10,903","12,365","10,163","6,560","3,585","659","37","145,512","145,512","7,148","10,565","23,036","19,517","21,226","24,921","20,291","11,727","6,081","943","57","70,666","70,666","3,615","5,251","11,117","9,717","10,319","12,540","10,122","5,209","2,471","287","18","74,846","74,846","3,533","5,314","11,919","9,800","10,907","12,381","10,169","6,518","3,610","656","39","145,346","145,346","7,095","10,543","22,957","19,475","21,176","24,947","20,331","11,712","6,115","941","54","70,552","70,552","3,589","5,243","11,074","9,696","10,264","12,548","10,150","5,207","2,480","283","18","74,794","74,794","3,506","5,300","11,883","9,779","10,912","12,399","10,181","6,505","3,635","658","36","145,073","145,073","7,039","10,465","22,896","19,473","21,065","24,982","20,362","11,659","6,146","944","42","70,393","70,393","3,571","5,195","11,038","9,695","10,192","12,572","10,158","5,191","2,486","282","13","74,680","74,680","3,468","5,270","11,858","9,778","10,873","12,410","10,204","6,468","3,660","662","29","144,683","144,683","6,984","10,381","22,802","19,470","20,969","24,957","20,352","11,637","6,149","950","32","70,183","70,183","3,540","5,157","10,973","9,707","10,136","12,574","10,139","5,176","2,482","290","9","74,500","74,500","3,444","5,224","11,829","9,763","10,833","12,383","10,213","6,461","3,667","660","23"
"서울특별시 중구 (1114000000)","122,951","122,951","6,470","6,642","18,305","19,941","17,624","20,191","17,792","10,333","4,789","805","59","59,945","59,945","3,352","3,296","8,541","9,968","8,995","10,226","8,900","4,665","1,765","221","16","63,006","63,006","3,118","3,346","9,764","9,973","8,629","9,965","8,892","5,668","3,024","584","43","122,852","122,852","6,419","6,602","18,344","19,915","17,569","20,153","17,851","10,300","4,832","807","60","59,868","59,868","3,324","3,272","8,554","9,945","8,973","10,204","8,920","4,654","1,787","219","16","62,984","62,984","3,095","3,330","9,790","9,970","8,596","9,949","8,931","5,646","3,045","588","44","122,858","122,858","6,396","6,592","18,318","19,943","17,522","20,161","17,908","10,273","4,872","812","61","59,853","59,853","3,320","3,255","8,519","9,955","8,959","10,219","8,941","4,649","1,800","219","17","63,005","63,005","3,076","3,337","9,799","9,988","8,563","9,942","8,967","5,624","3,072","593","44","122,781","122,781","6,370","6,556","18,289","19,963","17,474","20,105","17,978","10,273","4,905","813","55","59,802","59,802","3,310","3,239","8,498","9,958","8,924","10,191","8,978","4,656","1,808","223","17","62,979","62,979","3,060","3,317","9,791","10,005","8,550","9,914","9,000","5,617","3,097","590","38","122,673","122,673","6,331","6,508","18,301","19,935","17,460","20,067","18,047","10,236","4,936","804","48","59,743","59,743","3,278","3,220","8,492","9,942","8,928","10,167","9,024","4,638","1,818","220","16","62,930","62,930","3,053","3,288","9,809","9,993","8,532","9,900","9,023","5,598","3,118","584","32","122,499","122,499","6,299","6,474","18,309","19,886","17,379","20,043","18,083","10,221","4,967","812","26","59,630","59,630","3,265","3,206","8,477","9,909","8,898","10,166","9,023","4,633","1,821","221","11","62,869","62,869","3,034","3,268","9,832","9,977","8,481","9,877","9,060","5,588","3,146","591","15"
"서울특별시 용산구 (1117000000)","225,977","225,977","13,087","15,077","33,488","38,113","34,558","36,430","28,973","16,299","8,483","1,380","89","108,709","108,709","6,726","7,624","15,775","18,918","17,012","17,989","13,936","7,122","3,166","414","27","117,268","117,268","6,361","7,453","17,713","19,195","17,546","18,441","15,037","9,177","5,317","966","62","224,977","224,977","12,951","14,952","33,358","37,874","34,343","36,306","29,023","16,211","8,485","1,379","95","108,220","108,220","6,661","7,557","15,701","18,791","16,910","17,927","13,972","7,094","3,165","415","27","116,757","116,757","6,290","7,395","17,657","19,083","17,433","18,379","15,051","9,117","5,320","964","68","224,145","224,145","12,878","14,874","33,143","37,774","34,099","36,268","29,002","16,139","8,491","1,382","95","107,801","107,801","6,649","7,505","15,624","18,724","16,767","17,916","13,951","7,059","3,161","417","28","116,344","116,344","6,229","7,369","17,519","19,050","17,332","18,352","15,051","9,080","5,330","965","67","223,713","223,713","12,800","14,803","32,985","37,773","33,935","36,239","29,101","16,078","8,511","1,399","89","107,607","107,607","6,612","7,490","15,529","18,711","16,713","17,887","14,013","7,032","3,170","424","26","116,106","116,106","6,188","7,313","17,456","19,062","17,222","18,352","15,088","9,046","5,341","975","63","223,442","223,442","12,737","14,737","32,880","37,791","33,840","36,206","29,160","16,040","8,562","1,413","76","107,486","107,486","6,560","7,460","15,498","18,714","16,680","17,877","14,053","7,014","3,183","425","22","115,956","115,956","6,177","7,277","17,382","19,077","17,160","18,329","15,107","9,026","5,379","988","54","222,953","222,953","12,653","14,692","32,778","37,719","33,781","36,122","29,169","15,960","8,591","1,417","71","107,210","107,210","6,523","7,444","15,432","18,641","16,651","17,821","14,068","6,977","3,206","427","20","115,743","115,743","6,130","7,248","17,346","19,078","17,130","18,301","15,101","8,983","5,385","990","51"
"서울특별시 성동구 (1120000000)","288,703","288,703","19,749","19,311","44,243","47,543","43,836","46,498","37,297","20,204","8,813","1,129","80","140,811","140,811","10,083","9,629","21,838","23,309","21,970","23,146","18,217","9,000","3,308","282","29","147,892","147,892","9,666","9,682","22,405","24,234","21,866","23,352","19,080","11,204","5,505","847","51","288,214","288,214","19,613","19,235","44,172","47,374","43,707","46,409","37,442","20,190","8,852","1,138","82","140,517","140,517","10,009","9,581","21,794","23,232","21,928","23,038","18,304","8,979","3,334","289","29","147,697","147,697","9,604","9,654","22,378","24,142","21,779","23,371","19,138","11,211","5,518","849","53","287,820","287,820","19,515","19,166","44,063","47,234","43,631","46,340","37,589","20,171","8,884","1,146","81","140,290","140,290","9,961","9,549","21,737","23,177","21,871","22,969","18,377","8,976","3,356","288","29","147,530","147,530","9,554","9,617","22,326","24,057","21,760","23,371","19,212","11,195","5,528","858","52","287,174","287,174","19,409","19,042","43,902","47,088","43,487","46,315","37,664","20,145","8,914","1,146","62","139,958","139,958","9,910","9,480","21,609","23,162","21,791","22,970","18,385","8,967","3,374","287","23","147,216","147,216","9,499","9,562","22,293","23,926","21,696","23,345","19,279","11,178","5,540","859","39","286,599","286,599","19,307","18,960","43,701","46,926","43,412","46,281","37,744","20,106","8,963","1,146","53","139,709","139,709","9,864","9,462","21,509","23,087","21,764","22,929","18,441","8,944","3,399","292","18","146,890","146,890","9,443","9,498","22,192","23,839","21,648","23,352","19,303","11,162","5,564","854","35","285,990","285,990","19,222","18,903","43,463","46,815","43,346","46,154","37,768","20,111","9,002","1,158","48","139,380","139,380","9,797","9,436","21,395","23,032","21,733","22,846","18,458","8,951","3,419","299","14","146,610","146,610","9,425","9,467","22,068","23,783","21,613","23,308","19,310","11,160","5,583","859","34"
"서울특별시 광진구 (1121500000)","342,111","342,111","18,440","25,210","62,278","55,017","51,196","53,799","43,682","22,043","9,169","1,204","73","165,039","165,039","9,432","12,753","29,144","27,293","25,213","26,338","20,791","10,095","3,634","327","19","177,072","177,072","9,008","12,457","33,134","27,724","25,983","27,461","22,891","11,948","5,535","877","54","341,505","341,505","18,280","25,130","62,215","54,857","50,940","53,734","43,829","21,994","9,244","1,207","75","164,748","164,748","9,372","12,726","29,117","27,217","25,083","26,289","20,868","10,067","3,663","327","19","176,757","176,757","8,908","12,404","33,098","27,640","25,857","27,445","22,961","11,927","5,581","880","56","341,112","341,112","18,137","25,071","62,072","54,791","50,806","53,759","43,901","21,998","9,278","1,226","73","164,553","164,553","9,314","12,695","29,035","27,172","25,036","26,303","20,894","10,073","3,681","331","19","176,559","176,559","8,823","12,376","33,037","27,619","25,770","27,456","23,007","11,925","5,597","895","54","340,814","340,814","18,036","24,995","61,881","54,759","50,620","53,863","44,019","22,011","9,336","1,229","65","164,425","164,425","9,258","12,664","28,942","27,151","24,967","26,366","20,936","10,088","3,702","334","17","176,389","176,389","8,778","12,331","32,939","27,608","25,653","27,497","23,083","11,923","5,634","895","48","340,339","340,339","17,886","24,899","61,717","54,722","50,498","53,833","44,120","21,959","9,406","1,238","61","164,212","164,212","9,204","12,614","28,888","27,139","24,872","26,381","20,977","10,046","3,745","330","16","176,127","176,127","8,682","12,285","32,829","27,583","25,626","27,452","23,143","11,913","5,661","908","45","339,996","339,996","17,744","24,774","61,616","54,715","50,470","53,801","44,152","21,933","9,495","1,246","50","164,058","164,058","9,116","12,568","28,844","27,157","24,860","26,363","20,992","10,029","3,780","337","12","175,938","175,938","8,628","12,206","32,772","27,558","25,610","27,438","23,160","11,904","5,715","909","38"
"서울특별시 동대문구 (1123000000)","337,946","337,946","19,912","23,134","56,185","49,206","49,362","52,264","47,136","27,478","11,751","1,439","79","167,252","167,252","10,222","11,732","27,639","25,398","25,423","26,522","22,839","12,442","4,624","391","20","170,694","170,694","9,690","11,402","28,546","23,808","23,939","25,742","24,297","15,036","7,127","1,048","59","337,857","337,857","19,830","23,074","56,421","49,029","49,230","52,196","47,271","27,446","11,843","1,434","83","167,140","167,140","10,184","11,680","27,713","25,301","25,367","26,483","22,924","12,424","4,657","386","21","170,717","170,717","9,646","11,394","28,708","23,728","23,863","25,713","24,347","15,022","7,186","1,048","62","337,846","337,846","19,747","22,979","56,597","48,994","49,160","52,220","47,309","27,409","11,927","1,419","85","167,083","167,083","10,152","11,620","27,733","25,287","25,336","26,497","22,945","12,420","4,692","380","21","170,763","170,763","9,595","11,359","28,864","23,707","23,824","25,723","24,364","14,989","7,235","1,039","64","337,538","337,538","19,667","22,890","56,418","48,929","49,068","52,222","47,408","27,421","11,999","1,434","82","166,842","166,842","10,091","11,581","27,589","25,195","25,324","26,492","23,016","12,404","4,744","385","21","170,696","170,696","9,576","11,309","28,829","23,734","23,744","25,730","24,392","15,017","7,255","1,049","61","337,316","337,316","19,577","22,831","56,335","48,953","48,970","52,235","47,462","27,352","12,078","1,449","74","166,591","166,591","10,026","11,576","27,507","25,164","25,241","26,492","23,042","12,367","4,769","387","20","170,725","170,725","9,551","11,255","28,828","23,789","23,729","25,743","24,420","14,985","7,309","1,062","54","337,400","337,400","19,590","22,767","56,271","49,023","49,002","52,243","47,532","27,290","12,143","1,470","69","166,646","166,646","10,032","11,567","27,506","25,196","25,265","26,491","23,043","12,323","4,816","388","19","170,754","170,754","9,558","11,200","28,765","23,827","23,737","25,752","24,489","14,967","7,327","1,082","50"
"서울특별시 중랑구 (1126000000)","389,428","389,428","21,951","25,836","55,309","56,942","56,286","68,060","59,980","31,174","12,214","1,597","79","192,355","192,355","11,332","13,116","27,359","29,294","29,090","33,665","29,105","14,216","4,808","350","20","197,073","197,073","10,619","12,720","27,950","27,648","27,196","34,395","30,875","16,958","7,406","1,247","59","388,911","388,911","21,784","25,740","55,124","56,925","56,115","67,915","60,159","31,143","12,329","1,598","79","192,060","192,060","11,243","13,064","27,233","29,293","29,015","33,593","29,190","14,191","4,872","345","21","196,851","196,851","10,541","12,676","27,891","27,632","27,100","34,322","30,969","16,952","7,457","1,253","58","388,554","388,554","21,669","25,714","54,857","56,905","55,995","67,843","60,365","31,107","12,411","1,606","82","191,832","191,832","11,161","13,059","27,053","29,283","28,971","33,586","29,269","14,175","4,905","349","21","196,722","196,722","10,508","12,655","27,804","27,622","27,024","34,257","31,096","16,932","7,506","1,257","61","388,218","388,218","21,552","25,678","54,531","56,970","55,899","67,728","60,530","31,148","12,488","1,612","82","191,601","191,601","11,098","13,039","26,873","29,285","28,917","33,517","29,367","14,185","4,950","348","22","196,617","196,617","10,454","12,639","27,658","27,685","26,982","34,211","31,163","16,963","7,538","1,264","60","387,667","387,667","21,419","25,540","54,312","56,942","55,755","67,614","60,625","31,161","12,611","1,608","80","191,305","191,305","11,029","12,968","26,755","29,256","28,877","33,456","29,420","14,192","4,980","352","20","196,362","196,362","10,390","12,572","27,557","27,686","26,878","34,158","31,205","16,969","7,631","1,256","60","387,350","387,350","21,285","25,432","54,128","57,025","55,710","67,518","60,705","31,176","12,702","1,602","67","191,112","191,112","10,961","12,917","26,637","29,325","28,844","33,407","29,431","14,208","5,012","352","18","196,238","196,238","10,324","12,515","27,491","27,700","26,866","34,111","31,274","16,968","7,690","1,250","49"
"서울특별시 성북구 (1129000000)","433,361","433,361","28,228","36,578","66,130","59,120","68,524","69,040","56,267","32,722","14,648","1,996","108","209,004","209,004","14,414","18,568","31,724","29,510","33,783","34,049","26,457","14,282","5,702","488","27","224,357","224,357","13,814","18,010","34,406","29,610","34,741","34,991","29,810","18,440","8,946","1,508","81","432,815","432,815","28,048","36,466","66,073","58,980","68,197","69,039","56,540","32,655","14,721","1,988","108","208,711","208,711","14,313","18,505","31,683","29,482","33,591","34,037","26,618","14,242","5,723","491","26","224,104","224,104","13,735","17,961","34,390","29,498","34,606","35,002","29,922","18,413","8,998","1,497","82","432,628","432,628","27,872","36,397","66,125","58,861","67,997","69,157","56,666","32,634","14,808","2,001","110","208,592","208,592","14,232","18,475","31,673","29,407","33,504","34,082","26,696","14,221","5,775","501","26","224,036","224,036","13,640","17,922","34,452","29,454","34,493","35,075","29,970","18,413","9,033","1,500","84","432,081","432,081","27,677","36,249","65,978","58,729","67,840","69,248","56,748","32,589","14,929","2,017","77","208,308","208,308","14,134","18,406","31,567","29,334","33,464","34,106","26,720","14,209","5,847","504","17","223,773","223,773","13,543","17,843","34,411","29,395","34,376","35,142","30,028","18,380","9,082","1,513","60","431,313","431,313","27,524","36,126","65,737","58,591","67,666","69,261","56,754","32,536","15,014","2,029","75","207,979","207,979","14,067","18,365","31,488","29,282","33,362","34,136","26,693","14,172","5,896","501","17","223,334","223,334","13,457","17,761","34,249","29,309","34,304","35,125","30,061","18,364","9,118","1,528","58","430,528","430,528","27,326","35,986","65,580","58,415","67,446","69,280","56,803","32,464","15,136","2,027","65","207,578","207,578","13,968","18,296","31,395","29,213","33,248","34,156","26,706","14,133","5,948","504","11","222,950","222,950","13,358","17,690","34,185","29,202","34,198","35,124","30,097","18,331","9,188","1,523","54"
"서울특별시 강북구 (1130500000)","302,113","302,113","14,788","21,241","41,811","37,619","45,038","51,628","46,982","29,455","12,079","1,427","45","147,237","147,237","7,642","10,879","20,572","19,668","23,128","25,455","21,920","12,747","4,826","386","14","154,876","154,876","7,146","10,362","21,239","17,951","21,910","26,173","25,062","16,708","7,253","1,041","31","301,430","301,430","14,585","21,170","41,696","37,470","44,716","51,628","47,091","29,411","12,179","1,436","48","146,919","146,919","7,522","10,844","20,540","19,586","22,955","25,506","21,979","12,704","4,883","385","15","154,511","154,511","7,063","10,326","21,156","17,884","21,761","26,122","25,112","16,707","7,296","1,051","33","300,887","300,887","14,469","21,063","41,570","37,401","44,474","51,619","47,153","29,390","12,257","1,439","52","146,613","146,613","7,480","10,802","20,431","19,537","22,868","25,475","22,023","12,686","4,916","380","15","154,274","154,274","6,989","10,261","21,139","17,864","21,606","26,144","25,130","16,704","7,341","1,059","37","300,278","300,278","14,359","20,960","41,376","37,326","44,259","51,586","47,218","29,381","12,323","1,439","51","146,240","146,240","7,408","10,743","20,318","19,495","22,756","25,436","22,083","12,670","4,935","382","14","154,038","154,038","6,951","10,217","21,058","17,831","21,503","26,150","25,135","16,711","7,388","1,057","37","299,792","299,792","14,241","20,886","41,222","37,237","44,083","51,687","47,182","29,342","12,412","1,452","48","146,000","146,000","7,359","10,709","20,248","19,437","22,677","25,478","22,061","12,654","4,974","391","12","153,792","153,792","6,882","10,177","20,974","17,800","21,406","26,209","25,121","16,688","7,438","1,061","36","299,182","299,182","14,148","20,796","41,001","37,120","43,923","51,700","47,172","29,304","12,507","1,466","45","145,705","145,705","7,312","10,667","20,085","19,393","22,624","25,494","22,078","12,620","5,026","395","11","153,477","153,477","6,836","10,129","20,916","17,727","21,299","26,206","25,094","16,684","7,481","1,071","34"
