"행정구역","2024년01월_계_총인구수","2024년01월_계_연령구간인구수","2024년01월_계_0~9세","2024년01월_계_10~19세","2024년01월_계_20~29세","2024년01월_계_30~39세","2024년01월_계_40~49세","2024년01월_계_50~59세","2024년01월_계_60~69세","2024년01월_계_70~79세","2024년01월_계_80~89세","2024년01월_계_90~99세","2024년01월_계_100세 이상","2024년01월_남_총인구수","2024년01월_남_연령구간인구수","2024년01월_남_0~9세","2024년01월_남_10~19세","2024년01월_남_20~29세","2024년01월_남_30~39세","2024년01월_남_40~49세","2024년01월_남_50~59세","2024년01월_남_60~69세","2024년01월_남_70~79세","2024년01월_남_80~89세","2024년01월_남_90~99세","2024년01월_남_100세 이상","2024년01월_여_총인구수","2024년01월_여_연령구간인구수","2024년01월_여_0~9세","2024년01월_여_10~19세","2024년01월_여_20~29세","2024년01월_여_30~39세","2024년01월_여_40~49세","2024년01월_여_50~59세","2024년01월_여_60~69세","2024년01월_여_70~79세","2024년01월_여_80~89세","2024년01월_여_90~99세","2024년01월_여_100세 이상","2024년02월_계_총인구수","2024년02월_계_연령구간인구수","2024년02월_계_0~9세","2024년02월_계_10~19세","2024년02월_계_20~29세","2024년02월_계_30~39세","2024년02월_계_40~49세","2024년02월_계_50~59세","2024년02월_계_60~69세","2024년02월_계_70~79세","2024년02월_계_80~89세","2024년02월_계_90~99세","2024년02월_계_100세 이상","2024년02월_남_총인구수","2024년02월_남_연령구간인구수","2024년02월_남_0~9세","2024년02월_남_10~19세","2024년02월_남_20~29세","2024년02월_남_30~39세","2024년02월_남_40~49세","2024년02월_남_50~59세","2024년02월_남_60~69세","2024년02월_남_70~79세","2024년02월_남_80~89세","2024년02월_남_90~99세","2024년02월_남_100세 이상","2024년02월_여_총인구수","2024년02월_여_연령구간인구수","2024년02월_여_0~9세","2024년02월_여_10~19세","2024년02월_여_20~29세","2024년02월_여_30~39세","2024년02월_여_40~49세","2024년02월_여_50~59세","2024년02월_여_60~69세","2024년02월_여_70~79세","2024년02월_여_80~89세","2024년02월_여_90~99세","2024년02월_여_100세 이상","2024년03월_계_총인구수","2024년03월_계_연령구간인구수","2024년03월_계_0~9세","2024년03월_계_10~19세","2024년03월_계_20~29세","2024년03월_계_30~39세","2024년03월_계_40~49세","2024년03월_계_50~59세","2024년03월_계_60~69세","2024년03월_계_70~79세","2024년03월_계_80~89세","2024년03월_계_90~99세","2024년03월_계_100세 이상","2024년03월_남_총인구수","2024년03월_남_연령구간인구수","2024년03월_남_0~9세","2024년03월_남_10~19세","2024년03월_남_20~29세","2024년03월_남_30~39세","2024년03월_남_40~49세","2024년03월_남_50~59세","2024년03월_남_60~69세","2024년03월_남_70~79세","2024년03월_남_80~89세","2024년03월_남_90~99세","2024년03월_남_100세 이상","2024년03월_여_총인구수","2024년03월_여_연령구간인구수","2024년03월_여_0~9세","2024년03월_여_10~19세","2024년03월_여_20~29세","2024년03월_여_30~39세","2024년03월_여_40~49세","2024년03월_여_50~59세","2024년03월_여_60~69세","2024년03월_여_70~79세","2024년03월_여_80~89세","2024년03월_여_90~99세","2024년03월_여_100세 이상","2024년04월_계_총인구수","2024년04월_계_연령구간인구수","2024년04월_계_0~9세","2024년04월_계_10~19세","2024년04월_계_20~29세","2024년04월_계_30~39세","2024년04월_계_40~49세","2024년04월_계_50~59세","2024년04월_계_60~69세","2024년04월_계_70~79세","2024년04월_계_80~89세","2024년04월_계_90~99세","2024년04월_계_100세 이상","2024년04월_남_총인구수","2024년04월_남_연령구간인구수","2024년04월_남_0~9세","2024년04월_남_10~19세","2024년04월_남_20~29세","2024년04월_남_30~39세","2024년04월_남_40~49세","2024년04월_남_50~59세","2024년04월_남_60~69세","2024년04월_남_70~79세","2024년04월_남_80~89세","2024년04월_남_90~99세","2024년04월_남_100세 이상","2024년04월_여_총인구수","2024년04월_여_연령구간인구수","2024년04월_여_0~9세","2024년04월_여_10~19세","2024년04월_여_20~29세","2024년04월_여_30~39세","2024년04월_여_40~49세","2024년04월_여_50~59세","2024년04월_여_60~69세","2024년04월_여_70~79세","2024년04월_여_80~89세","2024년04월_여_90~99세","2024년04월_여_100세 이상"
"서울특별시  (1100000000)","9,384,325","9,384,325","510,839","732,095","1,351,857","1,426,653","1,418,358","1,497,561","1,317,634","741,028","341,120","45,706","1,474","4,538,354","4,538,354","262,001","374,718","640,896","713,652","701,808","735,899","623,584","335,311","137,983","12,172","330","4,845,971","4,845,971","248,838","357,377","710,961","713,001","716,550","761,662","694,050","405,717","203,137","33,534","1,144","9,386,705","9,386,705","508,019","733,410","1,350,429","1,422,971","1,419,142","1,498,165","1,320,619","743,502","342,795","46,170","1,483","4,538,306","4,538,306","260,564","374,930","639,858","711,635","702,290","736,267","625,001","336,331","138,723","12,369","338","4,848,399","4,848,399","247,455","358,480","710,571","711,336","716,852","761,898","695,618","407,171","204,072","33,801","1,145","9,384,739","9,384,739","504,805","733,051","1,348,801","1,426,416","1,412,882","1,496,980","1,321,940","747,041","344,599","46,724","1,500","4,536,128","4,536,128","258,848","374,512","638,347","713,489","699,164","735,830","625,662","337,871","139,521","12,538","346","4,848,611","4,848,611","245,957","358,539","710,454","712,927","713,718","761,150","696,278","409,170","205,078","34,186","1,154","9,378,269","9,378,269","502,083","731,176","1,345,398","1,429,039","1,407,189","1,497,051","1,323,231","747,791","346,723","47,085","1,503","4,532,115","4,532,115","257,434","373,543","636,314","714,841","696,275","735,836","626,231","338,168","140,478","12,647","348","4,846,154","4,846,154","244,649","357,633","709,084","714,198","710,914","761,215","697,000","409,623","206,245","34,438","1,155"
"서울특별시 종로구 (1111000000)","139,378","139,378","5,865","9,728","21,514","19,272","19,185","23,886","20,732","11,519","6,662","975","40","67,240","67,240","2,956","4,769","10,159","9,625","9,269","11,863","10,364","5,232","2,673","320","10","72,138","72,138","2,909","4,959","11,355","9,647","9,916","12,023","10,368","6,287","3,989","655","30","139,471","139,471","5,820","9,785","21,556","19,239","19,129","23,894","20,784","11,564","6,669","992","39","67,266","67,266","2,936","4,783","10,186","9,598","9,257","11,840","10,394","5,258","2,677","326","11","72,205","72,205","2,884","5,002","11,370","9,641","9,872","12,054","10,390","6,306","3,992","666","28","139,498","139,498","5,778","9,764","21,617","19,301","19,057","23,770","20,862","11,618","6,675","1,016","40","67,228","67,228","2,925","4,760","10,183","9,625","9,238","11,742","10,440","5,293","2,682","330","10","72,270","72,270","2,853","5,004","11,434","9,676","9,819","12,028","10,422","6,325","3,993","686","30","139,432","139,432","5,717","9,726","21,558","19,433","18,948","23,715","20,952","11,609","6,708","1,025","41","67,138","67,138","2,901","4,730","10,147","9,675","9,183","11,682","10,502","5,294","2,679","334","11","72,294","72,294","2,816","4,996","11,411","9,758","9,765","12,033","10,450","6,315","4,029","691","30"
"서울특별시 중구 (1114000000)","121,322","121,322","5,593","6,128","17,448","20,923","16,766","19,116","18,350","10,496","5,590","885","27","58,651","58,651","2,864","3,080","7,923","10,453","8,527","9,572","9,141","4,735","2,119","230","7","62,671","62,671","2,729","3,048","9,525","10,470","8,239","9,544","9,209","5,761","3,471","655","20","121,419","121,419","5,549","6,141","17,450","20,983","16,730","19,142","18,372","10,516","5,615","894","27","58,711","58,711","2,831","3,083","7,937","10,481","8,529","9,572","9,154","4,758","2,126","232","8","62,708","62,708","2,718","3,058","9,513","10,502","8,201","9,570","9,218","5,758","3,489","662","19","121,602","121,602","5,529","6,159","17,454","21,144","16,725","19,064","18,411","10,547","5,649","892","28","58,767","58,767","2,819","3,078","7,939","10,546","8,529","9,523","9,174","4,782","2,138","230","9","62,835","62,835","2,710","3,081","9,515","10,598","8,196","9,541","9,237","5,765","3,511","662","19","121,607","121,607","5,479","6,160","17,414","21,232","16,691","19,048","18,419","10,566","5,669","900","29","58,737","58,737","2,796","3,081","7,896","10,572","8,497","9,537","9,166","4,799","2,147","235","11","62,870","62,870","2,683","3,079","9,518","10,660","8,194","9,511","9,253","5,767","3,522","665","18"
"서울특별시 용산구 (1117000000)","212,175","212,175","10,982","13,573","29,768","37,329","31,107","34,147","29,276","15,616","8,892","1,428","57","101,793","101,793","5,601","6,912","13,675","18,528","15,387","16,664","14,285","6,904","3,392","431","14","110,382","110,382","5,381","6,661","16,093","18,801","15,720","17,483","14,991","8,712","5,500","997","43","211,247","211,247","10,832","13,552","29,537","37,124","31,011","34,031","29,195","15,595","8,865","1,447","58","101,262","101,262","5,529","6,894","13,506","18,416","15,322","16,610","14,255","6,904","3,376","435","15","109,985","109,985","5,303","6,658","16,031","18,708","15,689","17,421","14,940","8,691","5,489","1,012","43","209,849","209,849","10,751","13,479","29,316","36,895","30,747","33,760","28,999","15,564","8,817","1,460","61","100,488","100,488","5,484","6,836","13,341","18,263","15,207","16,479","14,169","6,898","3,366","427","18","109,361","109,361","5,267","6,643","15,975","18,632","15,540","17,281","14,830","8,666","5,451","1,033","43","207,969","207,969","10,670","13,356","29,021","36,640","30,436","33,462","28,731","15,382","8,773","1,438","60","99,566","99,566","5,426","6,778","13,181","18,125","15,043","16,350","14,035","6,823","3,362","425","18","108,403","108,403","5,244","6,578","15,840","18,515","15,393","17,112","14,696","8,559","5,411","1,013","42"
"서울특별시 성동구 (1120000000)","277,090","277,090","16,789","17,790","40,777","45,697","40,825","44,483","38,639","20,452","10,325","1,272","41","134,390","134,390","8,647","8,882","19,730","22,366","20,483","21,885","18,922","9,146","3,971","346","12","142,700","142,700","8,142","8,908","21,047","23,331","20,342","22,598","19,717","11,306","6,354","926","29","276,952","276,952","16,611","17,919","40,711","45,553","40,744","44,496","38,709","20,504","10,383","1,281","41","134,278","134,278","8,575","8,900","19,699","22,293","20,433","21,899","18,970","9,158","3,996","342","13","142,674","142,674","8,036","9,019","21,012","23,260","20,311","22,597","19,739","11,346","6,387","939","28","276,964","276,964","16,537","17,954","40,659","45,718","40,628","44,392","38,726","20,566","10,440","1,304","40","134,232","134,232","8,540","8,907","19,655","22,352","20,371","21,858","18,978","9,192","4,008","358","13","142,732","142,732","7,997","9,047","21,004","23,366","20,257","22,534","19,748","11,374","6,432","946","27","276,847","276,847","16,500","17,920","40,508","45,845","40,530","44,366","38,717","20,614","10,489","1,318","40","134,161","134,161","8,534","8,889","19,580","22,433","20,310","21,824","18,966","9,221","4,027","364","13","142,686","142,686","7,966","9,031","20,928","23,412","20,220","22,542","19,751","11,393","6,462","954","27"
"서울특별시 광진구 (1121500000)","335,335","335,335","15,099","23,777","58,691","54,811","48,010","53,238","45,609","23,625","11,000","1,429","46","161,154","161,154","7,722","11,990","27,217","27,377","23,510","25,905","21,767","10,790","4,467","396","13","174,181","174,181","7,377","11,787","31,474","27,434","24,500","27,333","23,842","12,835","6,533","1,033","33","335,200","335,200","14,963","23,762","58,692","54,667","48,003","53,144","45,708","23,747","11,025","1,439","50","161,022","161,022","7,636","11,988","27,186","27,300","23,504","25,845","21,821","10,857","4,470","401","14","174,178","174,178","7,327","11,774","31,506","27,367","24,499","27,299","23,887","12,890","6,555","1,038","36","335,105","335,105","14,831","23,738","58,615","54,792","47,748","53,070","45,834","23,886","11,083","1,456","52","160,888","160,888","7,569","11,951","27,175","27,327","23,358","25,782","21,900","10,903","4,499","410","14","174,217","174,217","7,262","11,787","31,440","27,465","24,390","27,288","23,934","12,983","6,584","1,046","38","334,790","334,790","14,762","23,607","58,484","54,871","47,545","53,030","45,886","23,908","11,173","1,474","50","160,670","160,670","7,513","11,909","27,111","27,328","23,259","25,748","21,921","10,915","4,537","415","14","174,120","174,120","7,249","11,698","31,373","27,543","24,286","27,282","23,965","12,993","6,636","1,059","36"
"서울특별시 동대문구 (1123000000)","340,983","340,983","18,180","22,613","56,685","49,449","48,557","52,665","48,579","28,410","14,149","1,640","56","167,230","167,230","9,242","11,488","26,902","25,440","24,998","26,550","23,665","12,809","5,681","444","11","173,753","173,753","8,938","11,125","29,783","24,009","23,559","26,115","24,914","15,601","8,468","1,196","45","341,620","341,620","18,011","23,023","56,883","49,300","48,586","52,709","48,678","28,516","14,195","1,662","57","167,462","167,462","9,151","11,597","27,062","25,328","25,020","26,609","23,684","12,856","5,688","457","10","174,158","174,158","8,860","11,426","29,821","23,972","23,566","26,100","24,994","15,660","8,507","1,205","47","341,987","341,987","17,952","23,159","56,992","49,426","48,391","52,734","48,692","28,631","14,249","1,706","55","167,574","167,574","9,108","11,661","27,079","25,374","24,905","26,641","23,713","12,906","5,696","480","11","174,413","174,413","8,844","11,498","29,913","24,052","23,486","26,093","24,979","15,725","8,553","1,226","44","341,981","341,981","17,885","23,112","56,941","49,581","48,221","52,761","48,716","28,623","14,345","1,741","55","167,523","167,523","9,082","11,625","27,013","25,430","24,823","26,656","23,759","12,897","5,738","488","12","174,458","174,458","8,803","11,487","29,928","24,151","23,398","26,105","24,957","15,726","8,607","1,253","43"
"서울특별시 중랑구 (1126000000)","382,284","382,284","19,007","23,934","49,876","57,824","53,083","64,792","63,520","33,338","15,001","1,853","56","187,392","187,392","9,686","12,271","23,912","29,433","27,661","31,983","30,711","15,246","6,039","441","9","194,892","194,892","9,321","11,663","25,964","28,391","25,422","32,809","32,809","18,092","8,962","1,412","47","382,322","382,322","18,824","23,898","49,776","57,708","53,103","64,807","63,691","33,468","15,116","1,876","55","187,319","187,319","9,602","12,222","23,824","29,350","27,695","31,987","30,794","15,289","6,098","449","9","195,003","195,003","9,222","11,676","25,952","28,358","25,408","32,820","32,897","18,179","9,018","1,427","46","381,966","381,966","18,642","23,886","49,523","57,816","52,896","64,611","63,795","33,662","15,179","1,901","55","187,102","187,102","9,506","12,221","23,637","29,418","27,614","31,884","30,852","15,370","6,127","464","9","194,864","194,864","9,136","11,665","25,886","28,398","25,282","32,727","32,943","18,292","9,052","1,437","46","381,668","381,668","18,561","23,781","49,343","57,902","52,731","64,519","63,832","33,739","15,282","1,923","55","186,915","186,915","9,478","12,164","23,518","29,472","27,515","31,844","30,854","15,419","6,171","471","9","194,753","194,753","9,083","11,617","25,825","28,430","25,216","32,675","32,978","18,320","9,111","1,452","46"
"서울특별시 성북구 (1129000000)","424,916","424,916","23,893","34,858","64,437","55,907","63,204","71,019","58,083","33,712","17,520","2,221","62","203,824","203,824","12,246","17,741","30,279","28,048","31,024","34,987","27,284","14,666","6,932","599","18","221,092","221,092","11,647","17,117","34,158","27,859","32,180","36,032","30,799","19,046","10,588","1,622","44","424,853","424,853","23,610","35,178","64,491","55,579","63,045","71,040","58,256","33,737","17,608","2,247","62","203,753","203,753","12,099","17,816","30,373","27,879","30,944","34,998","27,374","14,683","6,958","611","18","221,100","221,100","11,511","17,362","34,118","27,700","32,101","36,042","30,882","19,054","10,650","1,636","44","424,881","424,881","23,452","35,281","64,622","55,644","62,695","71,003","58,293","33,845","17,716","2,268","62","203,700","203,700","12,035","17,842","30,363","27,911","30,794","35,001","27,385","14,749","6,989","613","18","221,181","221,181","11,417","17,439","34,259","27,733","31,901","36,002","30,908","19,096","10,727","1,655","44","424,663","424,663","23,331","35,142","64,617","55,652","62,411","71,105","58,393","33,825","17,836","2,287","64","203,536","203,536","11,968","17,758","30,366","27,889","30,676","35,025","27,434","14,733","7,047","622","18","221,127","221,127","11,363","17,384","34,251","27,763","31,735","36,080","30,959","19,092","10,789","1,665","46"
"서울특별시 강북구 (1130500000)","287,490","287,490","11,458","19,023","37,944","34,886","39,641","50,292","47,911","29,773","14,895","1,620","47","139,141","139,141","5,887","9,686","18,106","18,371","20,481","24,845","22,623","12,747","5,939","442","14","148,349","148,349","5,571","9,337","19,838","16,515","19,160","25,447","25,288","17,026","8,956","1,178","33","287,040","287,040","11,320","19,014","37,768","34,705","39,518","50,286","47,976","29,807","14,965","1,636","45","138,846","138,846","5,813","9,642","17,976","18,249","20,458","24,847","22,663","12,769","5,963","451","15","148,194","148,194","5,507","9,372","19,792","16,456","19,060","25,439","25,313","17,038","9,002","1,185","30","286,400","286,400","11,173","18,997","37,540","34,653","39,260","50,172","47,958","29,893","15,061","1,652","41","138,474","138,474","5,751","9,597","17,833","18,220","20,344","24,794","22,674","12,783","6,006","458","14","147,926","147,926","5,422","9,400","19,707","16,433","18,916","25,378","25,284","17,110","9,055","1,194","27","285,880","285,880","11,087","18,945","37,384","34,603","39,009","50,107","48,003","29,857","15,160","1,686","39","138,198","138,198","5,698","9,571","17,741","18,221","20,201","24,795","22,682","12,766","6,044","466","13","147,682","147,682","5,389","9,374","19,643","16,382","18,808","25,312","25,321","17,091","9,116","1,220","26"
