,행정구역,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01
0,서울특별시  (1100000000),9733509,9736962,9733655,9726787,9724496,9720846,9715429,9708247,9699232,9689159,9679771,9668465,9657969,9648606,9598484,9588711,9575355,9565990,9558153,9550227,9542256,9532428,9520880,9509458,9505926,9508451,9506778,9500480,9496887,9494807,9493211,9488454,9450768,9443722,9436836,9428372,9411260,9409466,9407540,9400249,9390925,9386034,9384325,9386705,9384739,9378269
1,서울특별시 종로구 (1111000000),151215,151309,151217,150936,150623,150383,150183,149962,149952,149703,149549,149384,149125,148884,147296,147113,146377,146029,145692,145551,145512,145346,145073,144683,144543,144575,144275,144005,143850,143624,143547,143499,141978,141861,141650,141379,140206,140032,139945,139606,139497,139417,139378,139471,139498,139432
2,서울특별시 중구 (1114000000),126201,126259,126175,126126,126120,126092,125970,125990,125800,125641,125505,125240,125038,124836,124552,124477,123133,123016,122951,122852,122858,122781,122673,122499,122315,122167,122173,122087,122054,122088,122138,121960,120969,120648,120545,120437,121460,121482,121405,121300,121230,121312,121322,121419,121602,121607
3,서울특별시 용산구 (1117000000),229385,229677,229579,229369,229393,229431,229432,229362,229786,230044,230151,230040,230045,230113,229013,228755,227515,226378,225977,224977,224145,223713,223442,222953,222573,222413,222169,222009,222083,222263,222262,222230,219275,219102,218945,218650,217042,216547,216152,215397,214381,213151,212175,211247,209849,207969
4,서울특별시 성동구 (1120000000),300410,299797,299042,298249,297820,297397,296896,296183,295591,294895,294272,293556,293103,292537,291906,291534,289656,289162,288703,288214,287820,287174,286599,285990,285516,285137,285073,284573,284173,283821,283618,283603,282250,281694,281370,281000,279142,278750,278366,278035,277701,277361,277090,276952,276964,276847
5,서울특별시 광진구 (1121500000),351263,351032,350417,350016,349800,349574,349258,348647,348064,347615,347285,346682,346067,345248,343392,343006,342812,342481,342111,341505,341112,340814,340339,339996,340002,340494,340707,340396,340062,339893,339853,339567,338257,337900,337713,337416,336141,336446,336604,336294,335854,335554,335335,335200,335105,334790
6,서울특별시 동대문구 (1123000000),346080,346072,346156,345793,345815,345593,345156,344650,344416,343819,343377,342837,342034,341756,338875,338480,338233,338040,337946,337857,337846,337538,337316,337400,337419,337881,337982,337570,337443,337330,337198,337233,337106,337273,337241,336644,338657,340333,341238,341521,341510,341149,340983,341620,341987,341981
7,서울특별시 중랑구 (1126000000),396755,396314,395619,395072,394982,394414,394293,395788,395997,395572,395194,394702,394532,393933,392041,391502,390476,389972,389428,388911,388554,388218,387667,387350,387598,388606,389043,388941,388736,388509,388307,387840,386390,385976,385638,385318,383687,383072,382797,382390,381858,382155,382284,382322,381966,381668
8,서울특별시 성북구 (1129000000),442471,442483,442494,442174,442148,441812,441188,440395,439719,438973,438051,437153,437684,437961,434826,434383,433988,433658,433361,432815,432628,432081,431313,430528,430074,431892,433150,433331,433531,433559,433583,433386,431827,431581,431047,430397,428507,428122,427671,426892,426276,425602,424916,424853,424881,424663
9,서울특별시 강북구 (1130500000),313705,313289,312985,312691,312270,311773,311198,310555,309996,309245,308569,308055,307487,306639,304078,303622,303154,302645,302113,301430,300887,300278,299792,299182,298727,298074,297384,296942,296726,296653,296489,296073,294876,294429,293984,293660,291025,290583,290155,289372,288735,288113,287490,287040,286400,285880
10,서울특별시 도봉구 (1132000000),332753,332083,331238,330707,330149,329560,328822,328014,327248,326617,326082,325257,324281,323431,321717,321227,320687,320365,319893,319211,318718,318299,317943,317366,317150,316631,316098,315522,315162,314791,314662,313835,312788,312427,312053,311694,308447,307968,307740,307470,307070,306948,306722,306542,306346,306057
11,서울특별시 노원구 (1135000000),532662,531840,531037,530302,529617,528887,527981,526718,525486,524515,523708,523037,521852,520366,518278,517417,516552,515997,515198,514050,513053,512129,511275,510956,510805,510527,510486,509658,508867,508066,507575,507076,505503,505058,504609,503734,500094,499908,499989,499553,498976,498213,497237,497097,497064,496406
12,서울특별시 은평구 (1138000000),479457,479005,478019,477973,478029,479524,481184,481729,481546,481165,480617,479835,479223,478336,475501,474843,475143,475371,475008,474414,474062,473369,473468,473307,473122,472640,472259,473131,473669,473674,473529,472954,470289,468988,467851,466746,463702,465977,467098,467124,466968,466770,466474,466061,466007,465660
13,서울특별시 서대문구 (1141000000),310353,311327,312642,312809,312869,312720,312264,312632,313212,312781,312325,312173,311720,311132,308482,307825,307406,307070,306839,306472,306249,305840,305443,304819,305113,305793,305866,305721,305615,305623,305716,306253,305149,305113,305541,306337,307870,307672,307441,306927,306594,306231,305857,305909,305986,306001
14,서울특별시 마포구 (1144000000),373951,374315,374570,374426,374837,374390,374036,373620,373508,372905,372320,371890,371492,371200,368518,369577,369970,370132,370185,370053,369903,369695,369238,368905,368617,368560,368331,367613,367474,367584,367473,367190,365266,364698,364374,364638,364978,364573,364257,363953,363862,363697,363679,363615,363645,363449
15,서울특별시 양천구 (1147000000),457887,457332,456339,457132,458181,457953,457543,456980,456240,455649,455058,454251,453382,454270,452677,452112,451541,450992,450431,449603,449010,448634,448061,447302,446895,446478,446182,445662,444925,444548,444213,443847,442145,441749,441550,440881,438125,437665,437401,437199,436475,436028,435548,435278,434528,433975
16,서울특별시 강서구 (1150000000),591599,590419,589302,588281,587553,586936,586279,584920,583544,582586,581909,580185,579176,579082,577320,577580,577484,577519,577058,576361,575875,575370,574789,574315,574001,573531,573046,572648,572959,573045,572814,572230,570368,570011,569456,569166,566333,565195,564339,563663,563575,563058,562550,562067,561386,560679
17,서울특별시 구로구 (1153000000),406751,406245,405837,405271,405030,405075,405260,405495,405579,405481,405194,404408,403518,402642,401074,400399,399950,399266,398744,397887,397506,397330,397058,396754,396515,396221,396017,395555,395146,394850,394745,394246,393181,394212,394811,395315,394746,394363,393929,393459,392967,392405,392311,391671,391387,390952
18,서울특별시 금천구 (1154500000),233066,232827,232583,232396,232425,232250,231939,232013,232157,232173,232003,231733,231634,231290,229844,229639,229823,230168,230665,230759,230644,230740,230839,230811,230881,230856,231098,231150,231427,231565,231522,231356,230504,230156,229890,229642,229086,228858,228611,228274,227701,227481,227457,227268,227160,226955
