,행정구역,2020년01월_계_총인구수,2020년02월_계_총인구수,2020년03월_계_총인구수,2020년04월_계_총인구수,2020년05월_계_총인구수,2020년06월_계_총인구수,2020년07월_계_총인구수,2020년08월_계_총인구수,2020년09월_계_총인구수,2020년10월_계_총인구수,2020년11월_계_총인구수,2020년12월_계_총인구수,2021년01월_계_총인구수,2021년02월_계_총인구수,2021년03월_계_총인구수,2021년04월_계_총인구수,2021년05월_계_총인구수,2021년06월_계_총인구수,2021년07월_계_총인구수,2021년08월_계_총인구수,2021년09월_계_총인구수,2021년10월_계_총인구수,2021년11월_계_총인구수,2021년12월_계_총인구수,2022년01월_계_총인구수,2022년02월_계_총인구수,2022년03월_계_총인구수,2022년04월_계_총인구수,2022년05월_계_총인구수,2022년06월_계_총인구수,2022년07월_계_총인구수,2022년08월_계_총인구수,2022년09월_계_총인구수,2022년10월_계_총인구수,2022년11월_계_총인구수,2022년12월_계_총인구수,2023년07월_계_총인구수,2023년08월_계_총인구수,2023년09월_계_총인구수,2023년10월_계_총인구수,2023년11월_계_총인구수,2023년12월_계_총인구수,2024년01월_계_총인구수,2024년02월_계_총인구수,2024년03월_계_총인구수,2024년04월_계_총인구수
0,서울특별시  (1100000000),"9,733,509","9,736,962","9,733,655","9,726,787","9,724,496","9,720,846","9,715,429","9,708,247","9,699,232","9,689,159","9,679,771","9,668,465","9,657,969","9,648,606","9,598,484","9,588,711","9,575,355","9,565,990","9,558,153","9,550,227","9,542,256","9,532,428","9,520,880","9,509,458","9,505,926","9,508,451","9,506,778","9,500,480","9,496,887","9,494,807","9,493,211","9,488,454","9,450,768","9,443,722","9,436,836","9,428,372","9,411,260","9,409,466","9,407,540","9,400,249","9,390,925","9,386,034","9,384,325","9,386,705","9,384,739","9,378,269"
1,서울특별시 종로구 (1111000000),"151,215","151,309","151,217","150,936","150,623","150,383","150,183","149,962","149,952","149,703","149,549","149,384","149,125","148,884","147,296","147,113","146,377","146,029","145,692","145,551","145,512","145,346","145,073","144,683","144,543","144,575","144,275","144,005","143,850","143,624","143,547","143,499","141,978","141,861","141,650","141,379","140,206","140,032","139,945","139,606","139,497","139,417","139,378","139,471","139,498","139,432"
2,서울특별시 중구 (1114000000),"126,201","126,259","126,175","126,126","126,120","126,092","125,970","125,990","125,800","125,641","125,505","125,240","125,038","124,836","124,552","124,477","123,133","123,016","122,951","122,852","122,858","122,781","122,673","122,499","122,315","122,167","122,173","122,087","122,054","122,088","122,138","121,960","120,969","120,648","120,545","120,437","121,460","121,482","121,405","121,300","121,230","121,312","121,322","121,419","121,602","121,607"
3,서울특별시 용산구 (1117000000),"229,385","229,677","229,579","229,369","229,393","229,431","229,432","229,362","229,786","230,044","230,151","230,040","230,045","230,113","229,013","228,755","227,515","226,378","225,977","224,977","224,145","223,713","223,442","222,953","222,573","222,413","222,169","222,009","222,083","222,263","222,262","222,230","219,275","219,102","218,945","218,650","217,042","216,547","216,152","215,397","214,381","213,151","212,175","211,247","209,849","207,969"
4,서울특별시 성동구 (1120000000),"300,410","299,797","299,042","298,249","297,820","297,397","296,896","296,183","295,591","294,895","294,272","293,556","293,103","292,537","291,906","291,534","289,656","289,162","288,703","288,214","287,820","287,174","286,599","285,990","285,516","285,137","285,073","284,573","284,173","283,821","283,618","283,603","282,250","281,694","281,370","281,000","279,142","278,750","278,366","278,035","277,701","277,361","277,090","276,952","276,964","276,847"
5,서울특별시 광진구 (1121500000),"351,263","351,032","350,417","350,016","349,800","349,574","349,258","348,647","348,064","347,615","347,285","346,682","346,067","345,248","343,392","343,006","342,812","342,481","342,111","341,505","341,112","340,814","340,339","339,996","340,002","340,494","340,707","340,396","340,062","339,893","339,853","339,567","338,257","337,900","337,713","337,416","336,141","336,446","336,604","336,294","335,854","335,554","335,335","335,200","335,105","334,790"
6,서울특별시 동대문구 (1123000000),"346,080","346,072","346,156","345,793","345,815","345,593","345,156","344,650","344,416","343,819","343,377","342,837","342,034","341,756","338,875","338,480","338,233","338,040","337,946","337,857","337,846","337,538","337,316","337,400","337,419","337,881","337,982","337,570","337,443","337,330","337,198","337,233","337,106","337,273","337,241","336,644","338,657","340,333","341,238","341,521","341,510","341,149","340,983","341,620","341,987","341,981"
7,서울특별시 중랑구 (1126000000),"396,755","396,314","395,619","395,072","394,982","394,414","394,293","395,788","395,997","395,572","395,194","394,702","394,532","393,933","392,041","391,502","390,476","389,972","389,428","388,911","388,554","388,218","387,667","387,350","387,598","388,606","389,043","388,941","388,736","388,509","388,307","387,840","386,390","385,976","385,638","385,318","383,687","383,072","382,797","382,390","381,858","382,155","382,284","382,322","381,966","381,668"
8,서울특별시 성북구 (1129000000),"442,471","442,483","442,494","442,174","442,148","441,812","441,188","440,395","439,719","438,973","438,051","437,153","437,684","437,961","434,826","434,383","433,988","433,658","433,361","432,815","432,628","432,081","431,313","430,528","430,074","431,892","433,150","433,331","433,531","433,559","433,583","433,386","431,827","431,581","431,047","430,397","428,507","428,122","427,671","426,892","426,276","425,602","424,916","424,853","424,881","424,663"
9,서울특별시 강북구 (1130500000),"313,705","313,289","312,985","312,691","312,270","311,773","311,198","310,555","309,996","309,245","308,569","308,055","307,487","306,639","304,078","303,622","303,154","302,645","302,113","301,430","300,887","300,278","299,792","299,182","298,727","298,074","297,384","296,942","296,726","296,653","296,489","296,073","294,876","294,429","293,984","293,660","291,025","290,583","290,155","289,372","288,735","288,113","287,490","287,040","286,400","285,880"
10,서울특별시 도봉구 (1132000000),"332,753","332,083","331,238","330,707","330,149","329,560","328,822","328,014","327,248","326,617","326,082","325,257","324,281","323,431","321,717","321,227","320,687","320,365","319,893","319,211","318,718","318,299","317,943","317,366","317,150","316,631","316,098","315,522","315,162","314,791","314,662","313,835","312,788","312,427","312,053","311,694","308,447","307,968","307,740","307,470","307,070","306,948","306,722","306,542","306,346","306,057"
11,서울특별시 노원구 (1135000000),"532,662","531,840","531,037","530,302","529,617","528,887","527,981","526,718","525,486","524,515","523,708","523,037","521,852","520,366","518,278","517,417","516,552","515,997","515,198","514,050","513,053","512,129","511,275","510,956","510,805","510,527","510,486","509,658","508,867","508,066","507,575","507,076","505,503","505,058","504,609","503,734","500,094","499,908","499,989","499,553","498,976","498,213","497,237","497,097","497,064","496,406"
12,서울특별시 은평구 (1138000000),"479,457","479,005","478,019","477,973","478,029","479,524","481,184","481,729","481,546","481,165","480,617","479,835","479,223","478,336","475,501","474,843","475,143","475,371","475,008","474,414","474,062","473,369","473,468","473,307","473,122","472,640","472,259","473,131","473,669","473,674","473,529","472,954","470,289","468,988","467,851","466,746","463,702","465,977","467,098","467,124","466,968","466,770","466,474","466,061","466,007","465,660"
