구분,자치구명,법정동명,건물유형,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월
전기,강남구,개포동, 공동주택 ,7200943,6617228,6493290,6029290,6479576,8591661,9211776,6948301,6987802,6252099,6360880,6841707
전기,강남구,개포동, 단독주택 ,600037,518883,499469,438967,465250,584221,738246,612861,619261,480883,460891,497147
전기,강남구,논현동, 공동주택 ,5549624,4889737,4822460,4459243,4948666,6424482,7498085,6111260,6159100,4891942,4637516,4992352
전기,강남구,논현동, 단독주택 ,3252658,2753392,2719221,2516477,2866030,3760844,4468862,3541520,3548236,2744543,2561600,2813587
전기,강남구,대치동, 공동주택 ,9672351,9024081,8574895,8287759,9229790,12421630,13281322,9977035,11198965,9848877,9762137,10872472
전기,강남구,대치동, 단독주택 ,1149983,985242,973216,886448,992722,1286973,1564003,1259657,1260655,987746,929178,990008
전기,강남구,도곡동, 공동주택 ,12827538,12468690,11585742,11730030,13261608,17651410,17662332,13417532,13015482,11507353,11422903,13204344
전기,강남구,도곡동, 단독주택 ,353066,303600,291887,255732,271626,344287,419499,357003,357045,285788,267931,275897
전기,강남구,삼성동, 공동주택 ,6672065,6137014,5909682,5635106,6184637,8177673,8756790,6768942,6773000,5843372,5793424,6418727
전기,강남구,삼성동, 단독주택 ,945776,796318,776494,705044,797872,1065651,1272567,982623,978685,773012,756692,839396
전기,강남구,세곡동, 공동주택 ,1749308,1622509,1565956,1453314,1524201,1994735,2219908,1776828,1781711,1559820,1533184,1657524
전기,강남구,세곡동, 단독주택 ,269807,237212,240729,213094,218624,261577,341280,311335,315166,234233,206124,217481
전기,강남구,수서동, 공동주택 ,3176823,2859323,2887160,2677816,2806377,3545319,3949078,3147503,3147503,2771977,2833162,2973852
전기,강남구,수서동, 단독주택 ,62395,51912,49310,40130,41740,51664,63453,54818,54818,43795,43397,49188
전기,강남구,신사동, 공동주택 ,1281936,1081758,1083934,1036882,1163244,1545840,1780398,1390934,1391111,1107766,1095197,1194307
전기,강남구,신사동, 단독주택 ,1066106,909701,866791,786174,879653,1125018,1395788,1178173,1182852,894576,805751,880800
전기,강남구,압구정동, 공동주택 ,5255591,5036856,4605620,4415461,4948986,6846739,6793063,4928034,4929641,4704032,4825207,5616991
전기,강남구,압구정동, 단독주택 ,90754,64177,49284,36167,41561,49025,52573,45869,45869,40180,50819,78000
전기,강남구,역삼동, 공동주택 ,7888072,7087333,7080276,6594767,7161582,9178640,10800214,8776532,8850330,7156565,6842127,7215548
전기,강남구,역삼동, 단독주택 ,3141048,2726728,2730324,2463711,2708945,3501081,4343774,3637193,3637836,2752110,2512313,2629880
전기,강남구,율현동, 공동주택 ,253478,219977,223285,201252,207923,262235,321819,273791,273791,222996,220368,224307
전기,강남구,율현동, 단독주택 ,165122,142257,143516,128966,135466,174163,213510,173631,176853,140860,137752,147479
전기,강남구,일원동, 공동주택 ,4810189,4403191,4326008,4481859,4399919,5779532,6084278,4715181,4756923,4307271,4349263,4706047
전기,강남구,일원동, 단독주택 ,811859,691341,695544,640540,701158,923811,1058441,810775,811029,662846,661023,727045
전기,강남구,자곡동, 공동주택 ,3358335,2987238,3011930,2714588,2785112,3287482,4078098,3637309,3637309,2868649,2851307,2934980
전기,강남구,자곡동, 단독주택 ,153846,131014,128142,110975,116234,160476,183604,143354,145684,121988,126832,140760
전기,강남구,청담동, 공동주택 ,4516539,3990834,3940404,3611439,3897988,5017629,5922112,4801800,4814627,3903639,3760699,3993257
전기,강남구,청담동, 단독주택 ,661305,560905,539325,486733,534580,678349,832682,701669,704527,546430,514486,563550
전기,강동구,강일동, 공동주택 ,3262734,3272457,2975671,2936520,3215345,4422718,4384817,3162288,3276514,3172996,3212561,3555755
전기,강동구,강일동, 단독주택 ,21655,17529,17542,15629,18429,22651,29539,25789,25995,19221,17129,16755
전기,강동구,고덕동, 공동주택 ,1787833,1567291,1363181,1464583,1498247,1713193,2251432,2105422,3347893,2513809,2524200,2565825
전기,강동구,고덕동, 단독주택 ,1418931,1204881,1195117,1102307,1198206,1508940,1726189,1359034,1354297,1085788,1084674,1185837
전기,강동구,길동, 공동주택 ,4880275,4214497,4230242,3860933,4147864,5135906,6075595,4949503,5296896,4330834,4341169,4625230
전기,강동구,길동, 단독주택 ,1660893,1418422,1400125,1263467,1355041,1674698,2050604,1720662,1720053,1345393,1293382,1394722
전기,강동구,둔촌동, 공동주택 ,2659503,2421169,2363555,2212725,2337177,2952056,3314961,2652378,2668669,2308919,2328519,2540860
전기,강동구,둔촌동, 단독주택 ,716197,608796,592734,525353,555452,693376,839238,695344,695847,555307,557756,610760
전기,강동구,명일동, 공동주택 ,5038095,4318731,4291555,4102899,4627497,6205424,6640633,4793783,4814830,4228764,4382624,4796424
전기,강동구,명일동, 단독주택 ,717881,606988,595126,541214,581625,711984,866769,730140,731908,559570,542026,585962
전기,강동구,상일동, 공동주택 ,6007567,5164761,5242562,4724407,5344678,6919667,8207262,6450611,8151285,6597727,6645727,6916270
전기,강동구,상일동, 단독주택 ,590905,492273,488133,465348,529417,679410,747641,564003,565757,473128,477114,547071
전기,강동구,성내동, 공동주택 ,6616949,5728002,5786227,5344611,5822127,7498341,8732268,6840450,6887398,5652539,5690951,6141337
전기,강동구,성내동, 단독주택 ,3185154,2715908,2675007,2448984,2649404,3386043,4011725,3277854,3287459,2596519,2539246,2767197
전기,강동구,암사동, 공동주택 ,7867117,6922380,7141626,6524962,6833328,8700999,9797024,8441639,8194111,6618855,6607781,6873203
전기,강동구,암사동, 단독주택 ,1996751,1696545,1680180,1519443,1622287,2014513,2426551,2007049,2015524,1595046,1563514,1684486
전기,강동구,천호동, 공동주택 ,7404708,6442195,6448121,5925598,6324647,7834211,9309258,7724019,7855640,6367941,6303159,6705241
전기,강동구,천호동, 단독주택 ,4408904,3776182,3721699,3340398,3546681,4428105,5417322,4463915,4479261,3559259,3480780,3719984
전기,강북구,미아동, 공동주택 ,11331474,9909130,10162079,9185881,9510978,11237281,13666123,11612143,11670004,9555050,9632155,9951027
전기,강북구,미아동, 단독주택 ,6998678,5991285,5890478,5276511,5550883,6762759,8135208,6735543,6738990,5494083,5482751,5934771
전기,강북구,번동, 공동주택 ,5103008,4402548,4490435,4104618,4306983,5375347,6266341,4956978,5035550,4256991,4403596,4692800
전기,강북구,번동, 단독주택 ,1918434,1647046,1627731,1473463,1571026,1975226,2362362,1942282,1948556,1560298,1541104,1661802
전기,강북구,수유동, 공동주택 ,7973434,6934649,7165655,6543994,6831632,8543531,10263395,8312172,8423352,6913716,6970730,7275706
전기,강북구,수유동, 단독주택 ,6124966,5238166,5144454,4596178,4860757,5908276,7170990,5990601,5955977,4818634,4778157,5149998
전기,강북구,우이동, 공동주택 ,1090548,965510,974035,878595,924532,1168390,1341955,1023168,1044675,922122,970550,1056415
전기,강북구,우이동, 단독주택 ,540195,445066,431794,385401,401897,500842,567870,443689,442615,392270,425009,488239
전기,강서구,가양동, 공동주택 ,5527773,4938892,4983850,4608484,4719479,5695747,6701861,5547315,5553551,4687723,4780083,5040675
전기,강서구,가양동, 단독주택 ,81987,66909,64453,59363,66848,89871,103554,84852,84618,66103,64332,77264
전기,강서구,개화동, 공동주택 ,7597,6732,7208,6533,6748,9495,10865,8660,8660,6927,7219,7478
전기,강서구,개화동, 단독주택 ,233954,196438,191354,169729,173187,217815,263218,210612,210567,176178,188823,213106
전기,강서구,공항동, 공동주택 ,939628,818308,841827,766692,820690,1040729,1239705,980372,1050214,862486,854386,882424
전기,강서구,공항동, 단독주택 ,1739192,1420773,1405508,1277666,1392928,1799027,2112216,1663443,1663728,1384181,1421939,1590286
전기,강서구,내발산동, 공동주택 ,5455878,4968992,4981329,4658505,4880176,6111935,7022680,5660052,5724840,4864120,4902291,5171235
전기,강서구,내발산동, 단독주택 ,583350,500157,494736,456707,492651,613822,726036,589941,590039,476554,463910,512304
전기,강서구,등촌동, 공동주택 ,8121265,7139621,7333715,6646269,6836480,8184505,9893134,8205529,8372764,7018940,7025177,7312461
전기,강서구,등촌동, 단독주택 ,784725,678407,678346,612960,654232,796163,967988,811329,823540,657677,625223,669264
전기,강서구,마곡동, 공동주택 ,4565865,4151007,4169977,3857139,4023986,4832942,6020394,5236982,5500932,4445309,4302492,4418743
전기,강서구,마곡동, 단독주택 ,29762,23980,22125,19103,26809,32177,36985,30025,22910,19606,21110,27155
전기,강서구,방화동, 공동주택 ,6588891,5880967,5949114,5367378,5447123,6523920,7903474,6612921,6884770,5773973,5818768,6107699
전기,강서구,방화동, 단독주택 ,1866446,1592648,1561937,1388531,1443128,1762665,2150306,1768162,1777957,1462247,1458122,1580773
전기,강서구,염창동, 공동주택 ,5578250,4968333,4994078,4562262,4755290,5769533,6787036,5658602,5948665,4948005,4939030,5155231
전기,강서구,염창동, 단독주택 ,155150,129440,125543,116406,128484,153518,174062,146741,149276,119724,112208,122408
전기,강서구,오곡동, 단독주택 ,2376,1869,1704,1146,1236,849,1018,897,897,742,842,1417
전기,강서구,외발산동, 공동주택 ,86228,73281,75623,70182,76475,103345,118773,82593,83695,71663,75198,81306
전기,강서구,외발산동, 단독주택 ,38708,30525,27963,26288,28809,36854,40069,29627,29631,26418,28479,35484
전기,강서구,화곡동, 공동주택 ,21754912,19238698,19684782,18095052,19016106,24017491,28683302,23451609,23744139,19734253,19267115,20355511
전기,강서구,화곡동, 단독주택 ,6578490,5611210,5595336,5102318,5467228,6789312,8138094,6696127,6708377,5460993,5238396,5712414
전기,관악구,남현동, 공동주택 ,1472742,1306289,1341144,1223351,1277124,1604331,1868460,1522031,1523487,1277585,1279526,1325837
전기,관악구,남현동, 단독주택 ,713831,622189,634516,580877,629273,814975,962668,779437,783285,629747,607940,636725
전기,관악구,봉천동, 공동주택 ,18927739,16451954,16750695,15509743,16557846,20515756,23473775,18590665,19678661,16906374,17081521,18295123
전기,관악구,봉천동, 단독주택 ,9524665,8305394,8363422,7654326,8307337,10550577,12622783,10417067,11030536,8799142,8238861,8666233
전기,관악구,신림동, 공동주택 ,15684522,13653965,13885385,12685202,13280362,16540252,19369379,15546317,15637776,13214046,13339187,14074814
전기,관악구,신림동, 단독주택 ,14134045,12234319,12273349,11178070,12025394,15249656,18434720,15079780,15204661,12164636,11650192,12345007
전기,광진구,광장동, 공동주택 ,4773615,4310306,4098735,3837255,4179161,5652406,6064146,4369546,4374624,3982471,4109465,4685885
전기,광진구,광장동, 단독주택 ,316158,255931,246332,227424,253958,327438,367883,287614,287757,235693,239707,284535
전기,광진구,구의동, 공동주택 ,7519937,6682031,6691538,6252392,6711789,8580934,9828498,7753133,7915030,6635727,6667650,7207648
