측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2023-01-01,강남구,0.024,0.024,0.6,0.004,52.0,36.0
2023-01-01,강동구,0.027,0.017,0.7,0.003,56.0,43.0
2023-01-01,강북구,,0.026,0.7,0.004,51.0,34.0
2023-01-01,강서구,0.021,0.025,0.6,0.004,62.0,38.0
2023-01-01,관악구,0.025,0.02,0.6,0.003,54.0,35.0
2023-01-01,광진구,0.0175,0.0176,0.79,0.0026,48.0,36.0
2023-01-01,구로구,0.019,0.021,0.4,0.003,53.0,35.0
2023-01-01,금천구,0.023,0.024,0.6,0.004,47.0,38.0
2023-01-01,노원구,0.031,0.022,0.7,0.004,51.0,39.0
2023-01-01,도봉구,0.02,0.029,0.7,0.003,43.0,32.0
2023-01-01,동대문구,0.023,0.024,0.7,0.004,52.0,37.0
2023-01-01,동작구,0.022,0.025,0.6,0.004,56.0,41.0
2023-01-01,마포구,0.023,0.02,0.6,0.003,49.0,40.0
2023-01-01,서대문구,0.024,0.022,0.7,0.005,53.0,37.0
2023-01-01,서초구,0.018,0.024,0.5,0.003,52.0,37.0
2023-01-01,성동구,0.027,0.022,0.6,0.003,53.0,33.0
2023-01-01,성북구,0.03,0.021,0.8,0.004,45.0,34.0
2023-01-01,송파구,0.03,0.018,0.7,0.003,51.0,35.0
2023-01-01,양천구,0.023,0.02,0.6,0.003,53.0,39.0
2023-01-01,영등포구,0.023,0.023,0.6,0.004,51.0,34.0
2023-01-01,용산구,0.019,0.024,0.6,0.004,50.0,37.0
2023-01-01,은평구,0.021,0.023,0.8,0.004,55.0,37.0
2023-01-01,종로구,0.0215,0.0251,0.67,0.0038,53.0,42.0
2023-01-01,중구,0.023,0.026,0.6,0.004,54.0,46.0
2023-01-01,중랑구,0.03,0.021,0.7,0.003,52.0,39.0
2023-01-01,강남대로,0.025,0.02,0.6,0.004,54.0,38.0
2023-01-01,강변북로,0.031,0.017,0.9,0.003,51.0,37.0
2023-01-01,공항대로,0.018,0.024,0.6,0.003,53.0,36.0
2023-01-01,도산대로,0.024,0.019,1.0,0.004,54.0,38.0
2023-01-01,동작대로,0.026,0.023,0.7,0.004,58.0,37.0
2023-01-01,시흥대로,0.027,0.02,0.6,0.004,47.0,29.0
2023-01-01,신촌로,0.03,0.016,0.7,0.005,62.0,43.0
2023-01-01,영등포로,0.025,0.02,0.6,0.004,53.0,38.0
2023-01-01,정릉로,0.033,0.016,0.8,0.004,53.0,40.0
2023-01-01,종로,0.024,0.022,0.8,0.004,52.0,33.0
2023-01-01,천호대로,0.037,0.015,0.9,0.004,54.0,37.0
2023-01-01,청계천로,0.023,0.024,0.7,0.004,53.0,36.0
2023-01-01,한강대로,0.027,0.023,0.7,0.005,58.0,35.0
2023-01-01,홍릉로,0.027,0.017,0.7,0.004,48.0,39.0
2023-01-01,화랑로,0.034,0.016,0.7,0.003,47.0,33.0
2023-01-01,관악산,0.012,0.035,0.4,0.005,45.0,29.0
2023-01-01,남산,0.018,0.025,0.8,0.004,51.0,37.0
2023-01-01,북한산,0.009,0.032,0.4,0.003,46.0,33.0
2023-01-01,세곡,0.024,0.021,0.7,0.004,48.0,32.0
2023-01-01,항동,0.012,0.026,0.8,0.004,46.0,31.0
2023-01-01,행주,0.015,0.024,0.8,0.004,62.0,43.0
2023-01-01,마포아트센터,0.023,0.026,0.7,0.004,,36.0
2023-01-01,서울숲,0.023,0.023,0.4,0.004,51.0,32.0
2023-01-01,올림픽공원,0.025,0.027,0.9,0.003,46.0,35.0
2023-01-01,자연사박물관,0.022,0.026,0.8,0.004,50.0,35.0
2023-01-02,강남구,0.0206,0.0212,0.43,0.0034,24.0,11.0
2023-01-02,강동구,0.0194,0.0173,0.38,0.0028,26.0,13.0
2023-01-02,강북구,0.008,0.0207,0.49,0.0022,22.0,11.0
2023-01-02,강서구,0.0176,0.022,0.44,0.0034,32.0,11.0
2023-01-02,관악구,0.0209,0.0183,0.45,0.0031,26.0,11.0
2023-01-02,광진구,0.0108,0.0182,0.51,0.002,21.0,11.0
2023-01-02,구로구,0.0163,0.0186,0.28,0.0032,25.0,8.0
2023-01-02,금천구,0.0243,0.0188,0.49,0.0035,23.0,14.0
2023-01-02,노원구,0.0212,0.0223,0.45,0.0033,25.0,14.0
2023-01-02,도봉구,0.013,0.0287,0.38,0.0028,21.0,10.0
2023-01-02,동대문구,0.0169,0.0235,0.45,0.0035,24.0,12.0
2023-01-02,동작구,0.0214,0.0187,0.41,0.003,27.0,14.0
2023-01-02,마포구,0.0175,0.0193,0.47,0.0026,21.0,10.0
2023-01-02,서대문구,0.0178,0.0205,0.35,0.0038,23.0,9.0
2023-01-02,서초구,0.0186,0.0199,0.29,0.0032,23.0,8.0
2023-01-02,성동구,0.0239,0.0186,0.42,0.0032,25.0,11.0
2023-01-02,성북구,0.0223,0.02,0.51,0.0036,20.0,10.0
2023-01-02,송파구,0.0256,0.0169,0.51,0.003,27.0,13.0
2023-01-02,양천구,0.0188,0.0177,0.44,0.0027,26.0,12.0
2023-01-02,영등포구,0.0188,0.0188,0.43,0.0031,22.0,9.0
2023-01-02,용산구,0.0166,0.021,0.49,0.0033,25.0,14.0
2023-01-02,은평구,0.016,0.0216,0.62,0.0038,23.0,7.0
2023-01-02,종로구,0.0179,0.0224,0.44,0.0033,25.0,14.0
2023-01-02,중구,0.019,0.0265,0.43,0.0031,23.0,14.0
2023-01-02,중랑구,0.0232,0.0195,0.42,0.0029,23.0,13.0
2023-01-02,강남대로,0.0273,0.0144,0.58,0.0036,30.0,11.0
2023-01-02,강변북로,0.03,0.0144,0.74,0.0031,28.0,14.0
2023-01-02,공항대로,0.0239,0.0154,0.42,0.0026,28.0,12.0
2023-01-02,도산대로,0.0245,0.017,0.78,0.004,26.0,10.0
2023-01-02,동작대로,0.0283,0.0158,0.51,0.0028,30.0,14.0
