ID,IC50_nM
TEST_000,186.97347512866654
TEST_001,33.58664830399381
TEST_002,10.481899707811374
TEST_003,22.685063537593816
TEST_004,26.99230670355666
TEST_005,9.043571988522515
TEST_006,27.684711364471795
TEST_007,28.067258854146587
TEST_008,32.1804169404407
TEST_009,164.13454667021352
TEST_010,161.8452657238225
TEST_011,15.366206552156793
TEST_012,24.406190680419613
TEST_013,176.27876532324126
TEST_014,28.164367335775466
TEST_015,37.02542054001329
TEST_016,26.894697672098154
TEST_017,60.574057666655435
TEST_018,11.348540189646107
TEST_019,41.62810742886785
TEST_020,10.539985174497083
TEST_021,26.254273189937003
TEST_022,95.31691990506745
TEST_023,8.682404198273618
TEST_024,13.884385605899011
TEST_025,21.93814991897899
TEST_026,13.662809090176394
TEST_027,29.543821225691616
TEST_028,11.809730852017456
TEST_029,16.30271738791389
TEST_030,11.18510331604456
TEST_031,14.142949804531387
TEST_032,31.713195148186877
TEST_033,124.62351604865115
TEST_034,82.58477692064439
TEST_035,11.18664870192304
TEST_036,41.9121558149408
TEST_037,59.37268189354106
TEST_038,21.90988005324792
TEST_039,28.316527886492114
TEST_040,11.830415557251538
TEST_041,25.894051057392385
TEST_042,14.823815464721704
TEST_043,10.539985174497083
TEST_044,32.011055915349765
TEST_045,6.30144282326983
TEST_046,49.882705456698076
TEST_047,66.21402675978595
TEST_048,67.30799699481749
TEST_049,14.05529612487564
TEST_050,30.99797568962954
TEST_051,16.00147436136397
TEST_052,36.697797509781516
TEST_053,9.17571677880583
TEST_054,21.245159698426
TEST_055,13.159518531592619
TEST_056,82.20848914440231
TEST_057,29.271164473516446
TEST_058,36.50228066052658
TEST_059,46.09848647319659
TEST_060,59.8159034542083
TEST_061,18.362282585693876
TEST_062,14.963734708376268
TEST_063,30.957555961674718
TEST_064,32.07672345898468
TEST_065,13.080971516608493
TEST_066,50.862769030643506
TEST_067,37.122168126771626
TEST_068,13.808293196456521
TEST_069,32.53618783746957
TEST_070,11.150645269020506
TEST_071,68.91281648380587
TEST_072,8.36835316113069
TEST_073,25.382827596797117
TEST_074,15.672562123952714
TEST_075,64.4564921519801
TEST_076,23.25091240457211
TEST_077,11.403548132842346
TEST_078,10.768122809530302
TEST_079,42.28503229975454
TEST_080,25.190686319525796
TEST_081,18.213776371047746
TEST_082,30.086153480219128
TEST_083,8.36835316113069
TEST_084,40.71927154442832
TEST_085,53.24759536129965
TEST_086,15.71954603906145
TEST_087,46.14096430706426
TEST_088,47.09411789384847
TEST_089,25.3738674401724
TEST_090,37.62631323828352
TEST_091,41.19931544583751
TEST_092,21.117378299440382
TEST_093,30.619634336906632
TEST_094,18.335805775977494
TEST_095,60.27214763688103
TEST_096,32.07672345898468
TEST_097,32.551174756289804
TEST_098,39.80155135426748
TEST_099,26.296624200302297
TEST_100,9.0477376664412
TEST_101,26.20836931619349
TEST_102,53.789808731687586
TEST_103,26.448436268543592
TEST_104,54.95282203570588
TEST_105,63.00137093821653
TEST_106,38.95710417215528
TEST_107,61.872832755323465
TEST_108,42.419609541992536
TEST_109,56.65218525819144
TEST_110,10.539985174497083
TEST_111,36.779007042238696
TEST_112,28.575905433749263
